,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 70 259],[ 46.16303943 285.03772851],[1.2240360000000001],4.52969745434511,37.65124555160142,45.86120996441281,47.86120996441281,89.8220640569395,55.13167259786477,48.718861209964416,59.78291814946619,72.23843416370107,7,7,11,17,12,8,11,12,108,125,135,255,151,149,238,230,10580,12887,13449,25240,15492,13690,16799,20299,12950.30088,15774.151932000002,16462.060164000002,30894.668640000004,18962.765712,16757.05284,20562.580764000002,24846.706764000002,7.507142857142857,7.260714285714286,7.6571428571428575,7.889285714285714,7.660714285714286,7.853571428571429,7.4714285714285715,7.535714285714286
Spine: 1,0,[124 223],[146.953215   220.96955489],[1.1499840000000001],7.613165692443267,44.08712121212121,38.0,31.174242424242426,51.46969696969697,45.583333333333336,43.34848484848485,50.54545454545455,35.02651515151515,7,7,7,8,10,7,10,7,152,186,108,186,157,135,141,114,11639,10032,8230,13588,12034,11444,13344,9247,13384.663776000001,11536.639488,9464.368320000001,15625.982592000002,13838.907456,13160.416896,15345.386496000001,10633.902048000002,9.207692307692307,8.976923076923077,8.576923076923077,9.63076923076923,9.365384615384615,9.884615384615385,9.55,9.307692307692308
Spine: 2,0,[103 220],[ 95.38614843 198.31129837],[0.884268],7.363816744220692,50.443349753694584,38.73891625615764,39.02463054187192,97.80788177339902,54.783251231527096,50.70443349753695,69.73891625615764,50.285714285714285,9,8,7,18,9,9,10,9,135,101,105,221,152,159,210,140,10240,7864,7922,19855,11121,10293,14157,10208,9054.904320000001,6953.883552000001,7005.171096000001,17557.141140000003,9833.944428,9101.770524000001,12518.582076,9026.607744,8.712871287128714,7.915841584158416,8.108910891089108,9.485148514851485,8.44059405940594,8.707920792079207,8.445544554455445,8.490099009900991
