Dendrite: 0,Timestep 1 (Luminosity),Timestep 2 (Luminosity),Timestep 3 (Luminosity),Timestep 4 (Luminosity),Timestep 5 (Luminosity),Timestep 6 (Luminosity),Timestep 7 (Luminosity),Timestep 8 (Luminosity)
"[249.0, 79.0]",222.0,164.0,223.0,197.0,235.0,210.0,205.0,192.0
"[248.0, 81.0]",230.0,198.0,225.0,186.0,188.0,199.0,214.0,156.0
"[248.0, 82.0]",232.0,221.0,217.0,226.0,255.0,231.0,185.0,208.0
"[248.0, 83.0]",218.0,242.0,238.0,237.0,255.0,173.0,254.0,191.0
"[248.0, 83.0]",218.0,242.0,238.0,237.0,255.0,173.0,254.0,191.0
"[247.0, 85.0]",253.0,255.0,250.0,240.0,255.0,255.0,246.0,156.0
"[247.0, 86.0]",255.0,255.0,243.0,255.0,255.0,252.0,243.0,219.0
"[247.0, 86.0]",255.0,255.0,243.0,255.0,255.0,252.0,243.0,219.0
"[247.0, 88.0]",236.0,255.0,250.0,247.0,255.0,255.0,237.0,236.0
"[246.0, 88.0]",255.0,255.0,238.0,255.0,255.0,255.0,240.0,250.0
"[246.0, 90.0]",255.0,255.0,255.0,231.0,255.0,255.0,255.0,249.0
"[246.0, 91.0]",246.0,255.0,255.0,244.0,255.0,255.0,253.0,237.0
"[246.0, 91.0]",246.0,255.0,255.0,244.0,255.0,255.0,253.0,237.0
"[245.0, 92.0]",255.0,255.0,193.0,242.0,253.0,255.0,250.0,255.0
"[245.0, 94.0]",246.0,227.0,232.0,245.0,250.0,255.0,253.0,245.0
"[245.0, 94.0]",246.0,227.0,232.0,245.0,250.0,255.0,253.0,245.0
"[245.0, 96.0]",245.0,229.0,226.0,223.0,229.0,253.0,230.0,254.0
"[244.0, 96.0]",241.0,242.0,191.0,198.0,193.0,255.0,196.0,192.0
"[244.0, 97.0]",240.0,194.0,175.0,233.0,213.0,234.0,196.0,246.0
"[244.0, 99.0]",222.0,207.0,158.0,219.0,154.0,224.0,175.0,195.0
"[244.0, 99.0]",222.0,207.0,158.0,219.0,154.0,224.0,175.0,195.0
"[243.0, 101.0]",188.0,167.0,131.0,182.0,198.0,204.0,165.0,164.0
