,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[255 145],[247.84563247 176.88610358],[0.5270760000000001],1.854976810950913,0,34.70247933884298,42.611570247933884,50.413223140495866,32.611570247933884,41.35537190082645,70.88429752066116,65.0,44.074380165289256,6,10,9,7,12,31,20,14,105,105,110,82,90,128,133,102,4199,5156,6100,3946,5004,8577,7865,5333,18.290844000000003,22.459536000000003,26.571600000000004,17.188776,21.797424000000003,37.361412,34.25994000000001,23.230548000000002,6.141666666666667,6.425,5.958333333333333,5.633333333333334,5.608333333333333,5.458333333333333,5.2,6.825
Spine: 1,0,[271 153],[265 178],[0.41817600000000005],3.500609389066528,0,36.114583333333336,31.59375,25.989583333333332,52.114583333333336,41.072916666666664,62.135416666666664,46.208333333333336,43.09375,9,10,9,9,13,17,13,13,85,67,66,113,94,117,89,111,3467,3033,2495,5003,3943,5965,4436,4137,15.102252000000002,13.211748000000002,10.86822,21.793068,17.175708,25.98354,19.323216000000002,18.020772,6.125,6.78125,5.708333333333333,5.71875,5.458333333333333,5.677083333333333,5.552083333333333,7.135416666666667
Spine: 2,0,[290 138],[273.83370505 218.92563274],[0.37026000000000003],4.076072569962448,0,50.71764705882353,41.11764705882353,44.90588235294118,131.01176470588234,73.47058823529412,78.36470588235294,62.71764705882353,75.37647058823529,14,13,12,40,21,36,27,27,116,90,101,211,136,128,100,134,4311,3495,3817,11136,6245,6661,5331,6407,18.778716000000003,15.224220000000003,16.626852000000003,48.508416000000004,27.20322,29.015316000000002,23.221836000000003,27.908892,5.927710843373494,5.9397590361445785,5.349397590361446,5.0602409638554215,5.0120481927710845,5.289156626506024,4.72289156626506,7.096385542168675
Spine: 3,0,[297 164],[293 200],[0.5749920000000001],4.74925481000912,0,47.11363636363637,35.378787878787875,24.484848484848484,37.583333333333336,24.28787878787879,30.151515151515152,17.318181818181817,28.333333333333332,10,8,7,6,6,7,5,6,115,84,69,98,75,92,64,91,6219,4670,3232,4961,3206,3980,2286,3740,27.089964000000002,20.342520000000004,14.078592000000002,21.610116,13.965336000000002,17.33688,9.957816000000001,16.29144,5.901515151515151,6.659090909090909,5.924242424242424,5.856060606060606,5.681818181818182,5.757575757575758,5.363636363636363,7.5
Spine: 4,0,[320 161],[317 190],[0.60984],6.2449327100738365,0,49.23571428571429,38.35,43.56428571428572,62.02142857142857,34.43571428571428,22.90714285714286,29.978571428571428,17.864285714285714,8,8,9,23,8,6,6,5,127,98,118,132,123,62,71,55,6893,5369,6099,8683,4821,3207,4197,2501,30.025908000000005,23.387364,26.567244000000002,37.823148,21.000276000000003,13.969692000000002,18.282132,10.894356000000002,6.25,7.078571428571428,6.25,6.421428571428572,6.021428571428571,6.314285714285714,5.828571428571428,7.55
Spine: 5,0,[346 166],[341 195],[0.45738000000000006],8.038688679454493,0,49.17142857142857,62.19047619047619,45.10476190476191,63.523809523809526,48.44761904761905,60.56190476190476,62.695238095238096,50.05714285714286,8,13,12,13,10,9,14,9,114,122,109,138,146,147,145,132,5163,6530,4736,6670,5087,6359,6583,5256,22.490028000000002,28.44468,20.630016,29.054520000000004,22.158972000000002,27.699804000000004,28.675548000000003,22.895136000000004,9.942857142857143,9.2,8.942857142857143,8.019047619047619,7.314285714285714,6.533333333333333,6.838095238095238,8.161904761904761
Spine: 6,0,[412 169],[399.18793745 197.52369062],[0.5967720000000001],12.436656627498024,0,149.01459854014598,132.4963503649635,98.1094890510949,73.22627737226277,85.97810218978103,91.46715328467154,96.08759124087591,93.56934306569343,40,24,12,17,25,21,18,26,255,238,249,187,183,192,219,209,20415,18152,13441,10032,11779,12531,13164,12819,88.92774000000001,79.07011200000001,58.54899600000001,43.699392,51.309324000000004,54.58503600000001,57.34238400000001,55.839564,6.963768115942029,7.471014492753623,6.956521739130435,6.760869565217392,6.521739130434782,7.543478260869565,7.144927536231884,8.521739130434783
