,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[178 254],[177 233],[0.7230960000000001],11.058193620194528,41.30120481927711,39.01204819277108,64.86746987951807,75.75301204819277,75.21686746987952,60.04216867469879,54.7710843373494,94.51807228915662,9,9,12,15,12,10,7,9,137,121,169,199,210,200,169,254,6856,6476,10768,12575,12486,9967,9092,15690,4957.546176000001,4682.769696,7786.2977280000005,9092.932200000001,9028.576656000001,7207.097832,6574.388832000001,11345.376240000001,8.813253012048193,8.36144578313253,8.662650602409638,9.120481927710843,9.012048192771084,8.867469879518072,8.644578313253012,9.367469879518072
Spine: 1,0,[460 258],[467 237],[0.736164],29.855603397586847,33.16568047337278,40.29585798816568,37.396449704142015,88.0414201183432,71.6923076923077,66.37278106508876,67.10059171597634,66.02366863905326,7,7,9,18,10,10,12,9,98,135,108,206,181,177,167,163,5605,6810,6320,14879,12116,11217,11340,11158,4126.19922,5013.27684,4652.55648,10953.384156000002,8919.363024,8257.551588,8348.099760000001,8214.117912000002,9.218934911242604,9.502958579881657,10.644970414201184,11.218934911242604,10.846153846153847,10.355029585798816,11.78698224852071,12.514792899408285
Spine: 2,0,[417 250],[417 228],[0.701316],26.9762825437371,30.819875776397517,41.06832298136646,40.96894409937888,64.24223602484471,49.807453416149066,55.36645962732919,51.41614906832298,50.1055900621118,8,9,6,12,9,14,9,10,85,135,143,167,117,176,134,123,4962,6612,6596,10343,8019,8914,8278,8067,3479.9299920000003,4637.1013920000005,4625.880336,7253.711388000001,5623.8530040000005,6251.530824,5805.493848000001,5657.516172000001,9.77639751552795,10.0,9.751552795031056,10.111801242236025,9.347826086956522,10.192546583850932,10.161490683229813,10.48447204968944
Spine: 3,0,[160 256],[159 238],[0.9104040000000001],9.865728297458807,65.43062200956938,68.63636363636364,87.56937799043062,134.29186602870814,86.68899521531101,94.18181818181819,73.11483253588517,97.69377990430623,11,10,14,33,12,17,11,12,172,171,225,248,230,233,177,237,13675,14345,18302,28067,18118,19684,15281,20418,12449.774700000002,13059.745380000002,16662.214008000003,25552.309068000002,16494.699672000002,17920.392336,13911.883524,18588.628872,9.344497607655502,9.325358851674642,9.090909090909092,10.751196172248804,9.746411483253588,10.110047846889952,9.799043062200957,10.272727272727273
Spine: 4,0,[149 285],[150 324],[0.7884360000000001],9.062826527698787,57.11602209944751,58.83425414364641,63.05524861878453,86.75690607734806,56.58563535911602,83.50828729281768,83.14364640883979,65.59116022099448,9,6,7,8,6,14,19,8,127,155,154,227,135,194,194,157,10338,10649,11413,15703,10242,15115,15049,11872,8150.851368000001,8396.054964,8998.420068000001,12380.810508000002,8075.161512000001,11917.210140000001,11865.173364000002,9360.312192000001,5.867403314917127,5.906077348066298,5.911602209944752,6.513812154696133,6.116022099447513,6.292817679558011,6.165745856353591,6.104972375690608
Spine: 5,0,[211 251],[209 225],[1.075932],13.242618478259578,49.064777327935225,47.21457489878542,49.80161943319838,61.07692307692308,118.23076923076923,66.66396761133603,57.874493927125506,58.74493927125506,9,10,13,13,39,10,10,12,117,128,115,143,255,158,141,132,12119,11662,12301,15086,29203,16466,14295,14510,13039.219908000001,12547.518984000002,13235.039532,16231.510152000003,31420.442196000004,17716.296312000002,15380.447940000002,15611.773320000002,8.360323886639677,7.7368421052631575,7.838056680161944,7.951417004048583,8.712550607287449,8.327935222672064,8.506072874493928,8.044534412955466
Spine: 6,0,[257 253],[260 231],[0.7143840000000001],16.498741228470305,31.603658536585368,35.83536585365854,32.896341463414636,87.9329268292683,63.073170731707314,50.24390243902439,59.359756097560975,31.621951219512194,7,7,8,13,13,8,9,7,110,107,98,202,193,161,167,84,5183,5877,5395,14421,10344,8240,9735,5186,3702.6522720000003,4198.434768,3854.10168,10302.131664,7389.588096,5886.524160000001,6954.528240000001,3704.7954240000004,7.963414634146342,8.158536585365853,8.304878048780488,8.804878048780488,8.49390243902439,9.176829268292684,8.865853658536585,8.804878048780488
Spine: 7,0,[262 273],[259 289],[1.3764960000000002],16.672346559064767,107.18987341772151,102.8006329113924,85.87341772151899,115.80696202531645,113.9493670886076,105.61708860759494,100.09810126582279,104.5506329113924,18,17,11,13,21,17,18,15,197,203,199,203,228,203,204,235,33872,32485,27136,36595,36008,33375,31631,33038,46624.672512000005,44715.47256,37352.595456,50372.87112,49564.867968000006,45940.554000000004,43539.944976000006,45476.674848,83.0886075949367,81.42088607594937,73.50316455696202,92.68354430379746,84.8006329113924,71.69303797468355,75.39873417721519,83.20886075949367
Spine: 8,0,[292 277],[297 299],[1.17612],18.400980195060384,78.12962962962963,68.05925925925926,64.26296296296296,107.51481481481481,122.0037037037037,154.8037037037037,100.19259259259259,123.27777777777777,8,8,8,13,16,37,12,32,225,213,196,253,247,255,247,255,21095,18376,17351,29029,32941,41797,27052,33285,24810.2514,21612.381120000002,20406.85812,34141.58748,38742.568920000005,49158.28764,31816.398240000002,39147.154200000004,8.703703703703704,8.392592592592592,8.15925925925926,9.437037037037037,9.077777777777778,9.5,9.277777777777779,9.037037037037036
Spine: 9,0,[348 253],[327.86886677 229.21172404],[0.37461600000000006],22.386024196143588,70.72093023255815,71.38372093023256,87.70930232558139,76.84883720930233,70.84883720930233,59.7093023255814,54.72093023255814,55.06976744186046,24,24,22,20,18,18,24,21,140,127,202,231,210,150,162,114,6082,6139,7543,6609,6093,5135,4706,4736,2278.4145120000003,2299.767624,2825.728488,2475.837144,2282.535288,1923.6531600000003,1762.9428960000002,1774.1813760000002,32.63095238095238,23.13095238095238,30.488095238095237,20.083333333333332,24.88095238095238,32.01190476190476,22.261904761904763,24.30952380952381
