,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[311 302],[299 347],[0.9769576795183],2.3995417265056114,30.288888888888888,30.813333333333333,28.36888888888889,34.08888888888889,30.77777777777778,27.68,22.684444444444445,21.36,3,4,4,5,5,3,5,5,109,91,86,87,99,106,72,88,6815,6933,6383,7670,6925,6228,5104,4806,6657.966585917215,6773.247592100374,6235.92086836531,7493.265401905362,6765.431930664228,6084.492428039973,4986.391996261404,4695.25860776495,3.6666666666666665,2.591111111111111,3.462222222222222,2.7955555555555556,5.737777777777778,6.28,5.786666666666667,5.631111111111111
Spine: 1,0,[327 290],[329 311],[0.9291953040751831],3.018328076912039,42.925233644859816,37.49065420560748,35.677570093457945,34.44392523364486,36.757009345794394,34.60280373831776,32.93457943925234,38.14485981308411,6,7,5,5,7,5,4,6,149,115,109,118,118,111,122,117,9186,8023,7635,7371,7866,7405,7048,8163,8535.588063234633,7454.933924595194,7094.406146614024,6849.098586338175,7309.050261855391,6880.691226676731,6548.968503121891,7585.02126716572,5.107476635514018,4.700934579439252,5.47196261682243,4.883177570093458,5.920560747663552,6.158878504672897,6.177570093457944,6.41588785046729
Spine: 2,0,[356 250],[351 225],[0.6252529148917121],5.553366494866277,17.041666666666668,22.041666666666668,22.805555555555557,24.756944444444443,25.069444444444443,28.57638888888889,27.04861111111111,28.97222222222222,3,2,1,2,5,5,6,6,61,97,68,84,73,80,101,87,2454,3174,3284,3565,3610,4115,3895,4172,1534.3706531442613,1984.552751866294,2053.3305725043824,2229.026641588953,2257.1630227590804,2572.915744779395,2435.3601035032184,2608.5551609282224,3.763888888888889,3.4375,4.0625,8.083333333333334,5.868055555555555,5.604166666666667,5.805555555555555,6.159722222222222
