,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 27 273],[ 99 216],[1.7075520000000002],1.6721270878558574,0,39.36479591836735,43.64540816326531,36.42602040816327,88.66071428571429,67.15051020408163,51.94387755102041,55.14540816326531,57.4030612244898,3,4,3,9,7,8,7,6,177,173,174,199,220,163,195,213,15431,17109,14279,34755,26323,20362,21617,22502,67.217436,74.52680400000001,62.199324000000004,151.39278000000002,114.66298800000001,88.69687200000001,94.16365200000001,98.01871200000001,6.8188775510204085,6.589285714285714,5.9438775510204085,8.181122448979592,7.711734693877551,8.331632653061224,7.1811224489795915,7.280612244897959
Spine: 1,0,[ 59 243],[ 64 216],[1.00188],3.2245598211808013,0,61.7304347826087,59.926086956521736,57.21304347826087,126.97391304347826,92.74782608695652,83.73478260869565,83.30434782608695,79.4608695652174,5,5,5,23,7,9,13,11,190,207,214,246,248,235,190,194,14198,13783,13159,29204,21332,19259,19160,18276,61.84648800000001,60.038748000000005,57.320604,127.21262400000002,92.92219200000001,83.892204,83.46096000000001,79.610256,6.456521739130435,6.160869565217391,5.791304347826087,7.278260869565218,7.004347826086956,7.308695652173913,7.165217391304348,7.026086956521739
Spine: 2,0,[ 74 272],[177 216],[0.41382],4.591967926293025,0,46.694736842105264,51.97894736842105,44.92631578947368,41.8421052631579,70.22105263157894,66.58947368421053,58.305263157894736,68.05263157894737,12,12,12,8,8,14,11,14,95,122,98,91,174,164,116,134,4436,4938,4268,3975,6671,6326,5539,6465,19.323216000000002,21.509928000000002,18.591408,17.3151,29.058876000000005,27.556056,24.127884,28.161540000000002,7.410526315789474,7.073684210526316,6.568421052631579,7.989473684210527,7.473684210526316,8.08421052631579,7.589473684210526,7.168421052631579
Spine: 3,0,[106 247],[ 27 311],[1.2675960000000002],6.775114884083164,0,45.07560137457045,34.65979381443299,41.54295532646048,123.35395189003437,67.81099656357388,103.39862542955326,56.123711340206185,66.54639175257732,7,6,7,14,8,12,6,8,184,137,162,255,239,255,181,197,13117,10086,12089,35896,19733,30089,16332,19365,57.13765200000001,43.934616000000005,52.659684000000006,156.36297600000003,85.95694800000001,131.067684,71.14219200000001,84.35394000000001,5.701030927835052,6.051546391752577,5.312714776632302,6.209621993127148,5.986254295532646,6.154639175257732,6.883161512027492,6.680412371134021
Spine: 4,0,[142 237],[134 199],[0.8581320000000001],9.23605701021254,0,58.80203045685279,53.49238578680203,44.47715736040609,103.25380710659898,59.2994923857868,58.82233502538071,54.776649746192895,65.84771573604061,9,8,9,13,11,10,8,8,152,138,131,221,171,170,144,180,11584,10538,8762,20341,11682,11588,10791,12972,50.45990400000001,45.90352800000001,38.167272000000004,88.60539600000001,50.88679200000001,50.47732800000001,47.005596000000004,56.506032000000005,6.324873096446701,5.83756345177665,4.98984771573604,6.284263959390863,6.020304568527918,6.157360406091371,6.426395939086294,6.147208121827411
Spine: 5,0,[175 276],[ 69 293],[0.9104040000000001],11.170817638433185,0,61.07655502392345,46.05263157894737,50.72248803827751,89.74162679425838,125.70813397129187,55.08612440191388,66.54545454545455,80.11483253588517,9,7,6,10,14,9,11,10,167,166,173,215,252,153,165,164,12765,9625,10601,18756,26273,11513,13908,16744,55.60434000000001,41.926500000000004,46.177956,81.701136,114.44518800000002,50.150628000000005,60.583248000000005,72.93686400000001,7.588516746411483,7.650717703349282,7.2009569377990434,7.889952153110048,7.952153110047847,7.822966507177034,8.047846889952153,7.8086124401913874
Spine: 6,0,[177 242],[175 318],[1.0149480000000002],11.566817638433186,0,87.50214592274678,78.54935622317596,76.79399141630901,157.18884120171674,103.12017167381974,95.27896995708154,91.21030042918454,85.36051502145922,8,9,10,44,9,10,9,7,255,250,236,255,255,255,254,251,20388,18302,17893,36625,24027,22200,21252,19889,88.810128,79.72351200000001,77.94190800000001,159.53850000000003,104.661612,96.70320000000001,92.57371200000001,86.63648400000001,6.407725321888412,5.901287553648069,5.484978540772532,6.28755364806867,6.373390557939914,6.330472103004292,6.8927038626609445,6.84549356223176
