,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[311 263],[311 299],[1.39392],8.78227258433776,26.425,35.271875,37.7125,41.584375,36.015625,43.85,39.828125,33.246875,5,6,6,6,6,7,6,5,107,149,124,156,143,149,143,128,8456,11287,12068,13307,11525,14032,12745,10639,11786.98752,15733.175040000002,16821.82656,18548.893440000003,16064.928000000002,19559.485440000004,17765.510400000003,14829.914880000002,5.8625,5.746875,5.796875,5.884375,6.16875,5.959375,6.0375,5.9875
Spine: 1,0,[359 258],[357 279],[1.5594480000000002],5.555070612845192,36.44972067039106,46.55307262569833,38.19832402234637,46.59497206703911,45.20391061452514,53.849162011173185,63.96368715083799,72.61731843575419,5,6,6,6,6,6,10,9,167,229,186,191,157,166,205,197,13049,16666,13675,16681,16183,19278,22899,25997,20349.236952000003,25989.760368000003,21325.4514,26013.152088000003,25236.546984000004,30063.038544000003,35709.799752000006,40540.969656,7.572625698324022,7.692737430167598,7.64245810055866,7.927374301675978,8.61731843575419,8.90782122905028,10.136871508379889,14.005586592178771
Spine: 2,0,[322 228],[322 194],[1.17612],8.32027258433776,48.54814814814815,54.19259259259259,58.91851851851852,60.129629629629626,76.17037037037036,62.111111111111114,34.53333333333333,18.244444444444444,8,7,8,9,8,6,6,4,162,169,173,200,221,245,175,136,13108,14632,15908,16235,20566,16770,9324,4926,15416.580960000001,17208.98784,18709.71696,19094.308200000003,24188.08392,19723.532400000004,10966.142880000001,5793.567120000001,5.803703703703704,5.229629629629629,5.503703703703704,5.685185185185185,5.762962962962963,5.837037037037037,5.444444444444445,5.4148148148148145
