,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[222 452],[73.57186545 51.89130534],[0.5445000000000001],9.283367664180291,0,30.8,25.408,21.016,26.304,28.76,28.848,21.208,22.072,10,8,8,7,7,9,7,8,87,75,47,65,84,72,71,69,3850,3176,2627,3288,3595,3606,2651,2759,16.7706,13.834656,11.443212,14.322528000000002,15.659820000000002,15.707736000000002,11.547756000000001,12.018204,8.503875968992247,9.031007751937985,9.015503875968992,9.565891472868216,10.147286821705427,10.395348837209303,10.7984496124031,11.186046511627907
Spine: 1,0,[212 415],[77.93845991 84.6407638 ],[0.47916000000000003],8.325332668671322,0,26.78181818181818,45.72727272727273,33.24545454545454,49.39090909090909,52.20909090909091,58.42727272727273,32.58181818181818,29.945454545454545,10,13,10,11,12,14,9,10,54,83,90,131,121,128,101,83,2946,5030,3657,5433,5743,6427,3584,3294,12.832776,21.910680000000003,15.929892000000002,23.666148000000003,25.016508,27.996012000000004,15.611904000000003,14.348664000000001,8.064814814814815,9.185185185185185,9.064814814814815,9.62962962962963,10.25925925925926,10.157407407407407,10.944444444444445,11.083333333333334
Spine: 2,0,[167 400],[71.38856822 62.80779149],[0.627264],4.917826656415214,0,34.1875,48.798611111111114,30.756944444444443,55.666666666666664,35.736111111111114,22.29861111111111,14.458333333333334,19.84027777777778,11,11,9,11,8,7,8,8,84,140,81,159,101,92,38,53,4923,7027,4429,8016,5146,3211,2082,2857,21.444588000000003,30.609612000000002,19.292724000000003,34.91769600000001,22.415976000000004,13.987116000000002,9.069192000000001,12.445092,8.16326530612245,9.428571428571429,9.149659863945578,10.047619047619047,9.768707482993197,10.319727891156463,10.448979591836734,10.673469387755102
Spine: 3,0,[173 432],[76.8468113  30.05833303],[0.47480400000000006],5.782229853364204,0,26.743119266055047,25.05504587155963,22.678899082568808,24.119266055045873,25.275229357798164,21.577981651376145,34.22018348623853,38.825688073394495,12,11,9,10,12,11,10,12,62,56,72,63,63,64,111,90,2915,2731,2472,2629,2755,2352,3730,4232,12.697740000000001,11.896236000000002,10.768032000000002,11.451924000000002,12.00078,10.245312000000002,16.247880000000002,18.434592000000002,8.110091743119266,10.036697247706423,9.321100917431192,10.01834862385321,10.055045871559633,10.65137614678899,10.660550458715596,11.027522935779816
Spine: 4,0,[138 425],[91.0382433  64.99108872],[0.6316200000000001],3.1245355607098695,0,34.296551724137935,36.13793103448276,46.206896551724135,84.55172413793103,81.57241379310345,93.84827586206896,90.57931034482759,92.27586206896552,9,10,13,24,18,22,17,18,74,81,121,170,213,195,223,200,4973,5240,6700,12260,11828,13608,13134,13380,21.662388000000004,22.825440000000004,29.185200000000002,53.404560000000004,51.522768000000006,59.27644800000001,57.211704000000005,58.283280000000005,8.347222222222221,9.555555555555555,9.777777777777779,10.67361111111111,10.0625,11.32638888888889,11.82638888888889,11.270833333333334
Spine: 5,0,[123 428],[91.0382433  64.99108872],[0.47916000000000003],2.411549084827908,0,27.181818181818183,24.30909090909091,19.581818181818182,27.40909090909091,22.672727272727272,34.09090909090909,71.80909090909091,35.31818181818182,8,8,8,12,8,9,10,9,59,59,56,68,57,100,163,90,2990,2674,2154,3015,2494,3750,7899,3885,13.024440000000002,11.647944,9.382824000000001,13.133340000000002,10.863864000000001,16.335,34.408044000000004,16.923060000000003,8.422018348623853,9.853211009174313,9.761467889908257,10.577981651376147,10.174311926605505,11.788990825688073,11.412844036697248,11.311926605504587
Spine: 6,0,[142 404],[87.76329745 25.69173857],[0.47044800000000003],3.3885355607098693,0,32.99074074074074,29.60185185185185,34.592592592592595,40.398148148148145,38.138888888888886,23.287037037037038,26.37962962962963,28.416666666666668,10,10,9,10,10,9,8,10,89,62,75,116,93,57,74,69,3563,3197,3736,4363,4119,2515,2849,3069,15.520428000000003,13.926132,16.274016000000003,19.005228000000002,17.942364,10.955340000000001,12.410244000000002,13.368564000000001,8.190909090909091,9.545454545454545,8.881818181818181,9.763636363636364,10.463636363636363,10.727272727272727,10.327272727272728,10.590909090909092
