,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 80 308],[ 50.0125477  321.81109084],[0.7971480000000001],2.43360628740727,0,25.80327868852459,21.704918032786885,25.76502732240437,75.85792349726776,49.814207650273225,43.704918032786885,29.55191256830601,34.82513661202186,7,6,6,13,7,5,6,6,88,71,90,190,151,128,117,145,4722,3972,4715,13882,9116,7998,5408,6373,20.569032000000004,17.302032,20.53854,60.469992000000005,39.709296,34.839288,23.557248,27.760788,7.43646408839779,7.662983425414365,7.314917127071824,7.0220994475138125,7.077348066298343,7.104972375690608,6.8397790055248615,7.060773480662983
Spine: 1,0,[101 287],[131.73295019 166.75186561],[0.6185520000000001],3.5208741406133623,0,29.232394366197184,27.232394366197184,27.443661971830984,66.40845070422536,55.570422535211264,52.76056338028169,55.33098591549296,49.809859154929576,8,12,10,10,7,11,10,9,86,66,67,211,185,150,168,149,4151,3867,3897,9430,7891,7492,7857,7073,18.081756000000002,16.844652000000004,16.975332,41.07708,34.37319600000001,32.635152000000005,34.225092000000004,30.809988000000004,8.164383561643836,8.13013698630137,8.17123287671233,8.417808219178083,8.513698630136986,9.013698630136986,10.102739726027398,10.150684931506849
Spine: 2,0,[131 287],[116.01748817 361.62359461],[0.8755560000000001],5.100463362215575,0,54.681592039801,60.24875621890547,56.6318407960199,130.12935323383084,94.45273631840796,73.8407960199005,61.08955223880597,71.30348258706468,12,12,11,21,10,9,7,9,169,190,187,231,218,216,200,198,10991,12110,11383,26156,18985,14842,12279,14332,47.876796000000006,52.751160000000006,49.584348000000006,113.93553600000001,82.69866,64.651752,53.48732400000001,62.430192000000005,5.861386138613861,5.856435643564357,5.6138613861386135,5.698019801980198,6.178217821782178,6.034653465346534,6.183168316831683,6.128712871287129
Spine: 3,0,[145 278],[167.45490064 286.03970587],[1.097712],6.135896259903624,0,69.33333333333333,76.09126984126983,71.76190476190476,148.03968253968253,124.99603174603175,109.5436507936508,101.63888888888889,92.84920634920636,14,15,11,38,44,34,25,13,227,200,211,255,232,235,227,218,17472,19175,18084,37306,31499,27605,25613,23398,76.10803200000001,83.5263,78.77390400000002,162.50493600000001,137.20964400000003,120.24738,111.57022800000001,101.92168800000002,11.887550200803213,11.642570281124499,11.48995983935743,12.586345381526105,12.136546184738956,12.526104417670682,11.967871485943775,11.967871485943775
Spine: 4,0,[130 253],[139.76575328 217.19101513],[0.570636],5.858617462053023,0,67.7175572519084,66.92366412213741,61.221374045801525,65.45038167938931,50.045801526717554,36.9236641221374,38.43511450381679,39.916030534351144,12,10,11,12,9,10,10,10,213,211,207,160,145,123,111,142,8871,8767,8020,8574,6556,4837,5035,5229,38.642076,38.189052000000004,34.935120000000005,37.348344000000004,28.557936,21.069972000000003,21.932460000000003,22.777524000000003,7.818897637795276,8.283464566929133,8.26771653543307,8.299212598425196,8.4251968503937,8.669291338582678,8.716535433070867,9.204724409448819
Spine: 5,0,[189 249],[184 222],[0.6011280000000001],9.385400492888174,0,49.39855072463768,49.78260869565217,64.3623188405797,102.06521739130434,81.1159420289855,90.92753623188406,96.44927536231884,89.3623188405797,7,8,8,17,10,18,26,19,144,136,181,197,220,207,197,177,6817,6870,8882,14085,11194,12548,13310,12332,29.694852000000004,29.925720000000002,38.689992000000004,61.354260000000004,48.761064000000005,54.659088000000004,57.97836000000001,53.71819200000001,8.630434782608695,8.369565217391305,8.471014492753623,8.72463768115942,8.608695652173912,8.5,8.44927536231884,8.44927536231884
Spine: 6,0,[252 229],[245 197],[0.7797240000000001],13.80103700054628,0,42.072625698324025,43.98882681564246,43.62011173184357,66.55865921787709,76.22905027932961,70.45251396648045,58.184357541899445,51.77653631284916,8,7,10,11,13,15,12,12,130,131,127,173,183,149,149,134,7531,7874,7808,11914,13645,12611,10415,9268,32.805036,34.299144000000005,34.011648,51.897384,59.43762000000001,54.933516000000004,45.367740000000005,40.371408,7.150837988826815,6.972067039106145,7.044692737430168,6.955307262569832,7.111731843575419,7.184357541899441,7.212290502793296,8.396648044692737
