,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[408 139],[408 175],[0.8119603825329872],26.82594890537113,80.81818181818181,74.98930481283422,61.22994652406417,64.1283422459893,32.6096256684492,51.31016042780749,49.2620320855615,73.10695187165776,20,9,5,6,5,5,5,6,166,181,155,183,153,190,141,216,15113,14023,11450,11992,6098,9595,9212,13671,12271.157261221035,11386.12044426008,9296.946380002702,9737.028907335582,4951.334412686156,7790.759870404012,7479.779043893878,11100.310389608467,4.524064171122995,4.721925133689839,4.679144385026738,4.593582887700535,4.652406417112299,4.925133689839572,5.021390374331551,5.208556149732621
Spine: 1,0,[158 112],[159  65],[0.6903834268595987],10.08950015864769,96.30188679245283,79.66666666666667,64.77987421383648,181.8993710691824,115.94339622641509,139.47169811320754,83.76729559748428,109.96855345911949,15,12,12,35,11,19,13,15,215,200,153,255,246,255,191,227,15312,12667,10300,28922,18435,22176,13319,17485,10571.151032074176,8745.086868030538,7110.949296653866,19967.269471633314,12727.218474156702,15309.942874038461,9195.216862342995,12071.354218640083,4.433962264150943,4.754716981132075,4.49685534591195,4.8930817610062896,5.044025157232705,5.132075471698113,5.012578616352202,4.987421383647798
Spine: 2,0,[442 137],[448 171],[0.9422214064687605],28.844944323685233,113.05990783410138,100.44239631336406,78.81566820276498,114.91705069124424,102.00921658986175,77.7741935483871,80.44700460829493,57.02764976958525,17,16,7,10,7,9,9,8,223,225,220,255,249,215,255,185,24534,21796,17103,24937,22136,16877,17457,12375,23116.45998630457,20536.657775393105,16114.81271483521,23496.17521311148,20857.013053592484,15901.87067697327,16448.359092725153,11659.989905050912,4.612903225806452,4.907834101382488,4.824884792626728,5.110599078341014,5.377880184331797,5.082949308755761,5.248847926267281,5.11520737327189
Spine: 3,0,[159 148],[157 173],[0.8076183484017947],10.250153323261982,68.91397849462365,70.36021505376344,118.25806451612904,108.51612903225806,135.4731182795699,66.1774193548387,70.15053763440861,93.74731182795699,13,11,9,9,8,7,7,9,180,205,255,255,255,248,235,255,12818,13087,21996,20184,25198,12309,13048,17437,10352.051989814205,10569.301325534287,17764.373191445877,16300.968744141825,20350.367143028423,9940.974250477691,10537.804209946618,14082.441141082094,5.575268817204301,5.56989247311828,6.102150537634409,6.010752688172043,6.209677419354839,6.376344086021505,5.946236559139785,6.483870967741935
Spine: 4,0,[212 146],[215 165],[0.7772241094834476],13.589897680955412,128.5195530726257,139.41899441340783,127.54189944134079,130.44692737430168,145.34078212290504,158.18435754189943,202.35754189944134,168.69832402234636,21,25,12,13,18,20,27,17,251,255,255,254,255,255,255,255,23005,24956,22830,23350,26016,28315,36222,30197,17880.040638666713,19396.40487626892,17744.02641950711,18148.1829564385,20220.26243232137,22007.100660023818,28152.61169370944,23469.83643407167,7.636871508379889,8.162011173184357,7.268156424581005,7.212290502793296,8.307262569832401,8.905027932960893,10.558659217877095,8.843575418994414
Spine: 5,0,[ 19 120],[ 14 142],[0.7641980070898703],0.8273730354106436,127.8465909090909,87.2784090909091,82.85227272727273,123.2215909090909,59.59090909090909,71.44886363636364,47.57954545454545,61.55681818181818,28,9,11,17,7,6,6,6,235,242,214,255,221,244,227,226,22501,15361,14582,21687,10488,12575,8374,10834,17195.21935752917,11738.845586907497,11143.535339384489,16573.162179758016,8014.908698358559,9609.789939155118,6399.394111370574,8279.321208811654,7.0,6.942857142857143,7.2628571428571425,7.251428571428572,6.902857142857143,6.988571428571428,6.88,6.937142857142857
Spine: 6,0,[331 113],[327  93],[0.49064985682474627],21.780217874182075,101.48672566371681,71.41592920353982,118.76991150442478,175.08849557522123,162.39823008849558,153.3716814159292,103.5575221238938,64.12389380530973,12,7,17,51,52,20,12,12,224,185,252,255,255,255,255,197,11468,8070,13421,19785,18351,17331,11702,7246,5626.77255806619,3959.5443445757023,6585.01172844492,9707.507417277604,9003.915522590918,8503.452668629678,5741.584624563181,3555.2488625521114,7.265486725663717,6.8053097345132745,7.221238938053097,10.150442477876107,9.973451327433628,13.106194690265486,10.20353982300885,8.831858407079647
Spine: 7,0,[436 109],[431  87],[0.6556471538100591],28.81909852613606,101.70860927152317,91.98675496688742,115.19867549668874,128.6953642384106,126.43708609271523,129.9205298013245,143.28476821192052,114.90066225165563,10,20,17,15,18,20,17,11,204,189,236,255,250,255,255,255,15358,13890,17395,19433,19092,19618,21636,17350,10069.428988214888,9106.938966421721,11404.982240525978,12741.19113999088,12517.615460541649,12862.485863445741,14185.58181983444,11375.478118604526,7.105960264900662,7.19205298013245,7.748344370860927,8.450331125827814,9.105960264900663,10.33774834437086,10.026490066225165,8.814569536423841
Spine: 8,0,[466  99],[466  61],[0.8988010651568361],30.661365581275188,78.08212560386474,88.21739130434783,74.58454106280193,76.6328502415459,67.71497584541063,79.28985507246377,59.09661835748792,59.55072463768116,11,11,8,9,9,10,9,9,178,245,240,221,210,254,175,187,16163,18261,15439,15863,14017,16413,12233,12327,14527.32161612994,16413.006250828985,13876.589644956392,14257.68129658289,12598.494530303371,14752.02188241915,10995.033430063575,11079.520730188318,5.647342995169082,5.78743961352657,5.51207729468599,5.502415458937198,5.7101449275362315,5.763285024154589,5.579710144927536,5.734299516908212
Spine: 9,0,[115 131],[115 121],[0.7902502118770249],7.314382379815687,87.98901098901099,91.91208791208791,93.65384615384616,140.66483516483515,140.4945054945055,116.72527472527473,131.76923076923077,134.7087912087912,16,20,16,26,33,17,21,27,202,221,190,255,255,231,253,255,16014,16728,17045,25601,25570,21244,23982,24517,12655.066892998677,13219.305544278874,13469.81486144389,20231.195674263716,20206.69791769553,16788.07550111552,18951.780581234812,19374.56444458902,18.906593406593405,26.934065934065934,35.417582417582416,101.51098901098901,74.82967032967034,32.120879120879124,56.89010989010989,47.83516483516483
