,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[334 244],[334 214],[0.8189280000000001],21.69233531294376,0,68.18617021276596,60.82446808510638,66.11170212765957,116.56382978723404,97.54787234042553,74.12234042553192,72.87234042553192,85.75,15,10,15,22,27,10,9,16,162,179,174,243,222,147,165,184,12819,11435,12429,21914,18339,13935,13700,16121,55.839564,49.810860000000005,54.140724000000006,95.457384,79.88468400000001,60.700860000000006,59.677200000000006,70.223076,6.047872340425532,6.781914893617022,6.053191489361702,6.808510638297872,6.702127659574468,6.5,6.73404255319149,6.627659574468085
Spine: 1,0,[348 278],[340 310],[0.8450640000000001],22.901275731108413,0,53.845360824742265,48.81958762886598,69.88144329896907,87.85051546391753,67.06701030927834,76.41752577319588,86.81443298969072,90.74742268041237,11,12,10,12,13,16,14,20,132,118,165,183,174,162,191,166,10446,9471,13557,17043,13011,14825,16842,17605,45.502776000000004,41.25567600000001,59.054292000000004,74.23930800000001,56.67591600000001,64.57770000000001,73.363752,76.68738,5.969072164948454,6.65979381443299,5.77319587628866,6.041237113402062,6.324742268041237,6.711340206185567,6.814432989690721,7.061855670103093
Spine: 2,0,[378 254],[384 227],[0.553212],24.454650171568705,0,47.48031496062992,49.69291338582677,55.39370078740158,108.79527559055119,77.2755905511811,83.80314960629921,87.8267716535433,81.60629921259843,10,10,9,15,10,19,17,13,117,120,129,231,174,161,188,191,6030,6311,7035,13817,9814,10643,11154,10364,26.266680000000004,27.490716000000003,30.644460000000002,60.18685200000001,42.749784000000005,46.360908,48.58682400000001,45.14558400000001,6.535433070866142,6.866141732283465,6.05511811023622,6.354330708661418,6.637795275590551,7.535433070866142,6.94488188976378,7.251968503937008
Spine: 3,0,[410 283],[406 301],[0.6882480000000001],26.90929622235888,0,76.86708860759494,55.677215189873415,68.93037974683544,84.39240506329114,74.93037974683544,89.09493670886076,93.87974683544304,90.39240506329114,9,11,10,12,14,15,18,24,207,149,148,183,157,180,178,157,12145,8797,10891,13334,11839,14077,14833,14282,52.903620000000004,38.319732,47.441196000000005,58.082904000000006,51.57068400000001,61.31941200000001,64.612548,62.21239200000001,7.8354430379746836,8.20253164556962,8.120253164556962,8.379746835443038,9.10759493670886,9.164556962025317,9.79746835443038,8.905063291139241
Spine: 4,0,[437 261],[439 230],[0.9757440000000002],28.52204471162433,0,63.75892857142857,84.62946428571429,79.36607142857143,93.49107142857143,80.08035714285714,77.625,74.90178571428571,81.22321428571429,9,20,21,17,14,10,8,21,178,192,192,185,184,180,153,140,14282,18957,17778,20942,17938,17388,16778,18194,62.21239200000001,82.57669200000001,77.44096800000001,91.223352,78.137928,75.74212800000001,73.084968,79.25306400000001,6.683035714285714,6.982142857142857,6.59375,6.816964285714286,6.776785714285714,7.232142857142857,7.352678571428571,7.053571428571429
Spine: 5,0,[439 295],[442 333],[1.0454400000000001],28.62947441524564,0,46.825,44.420833333333334,39.525,83.35,53.7125,52.57083333333333,55.30416666666667,55.1,9,8,8,18,9,8,8,9,162,123,117,166,174,167,160,195,11238,10661,9486,20004,12891,12617,13273,13224,48.95272800000001,46.439316000000005,41.32101600000001,87.13742400000001,56.15319600000001,54.959652000000006,57.81718800000001,57.603744000000006,6.316666666666666,8.270833333333334,6.916666666666667,6.191666666666666,6.641666666666667,9.266666666666667,8.208333333333334,8.879166666666666
Spine: 6,0,[485 254],[480 219],[0.60984],31.945311104496284,0,63.15,58.3,67.55,68.13571428571429,69.18571428571428,53.59285714285714,74.46428571428571,61.47142857142857,9,9,13,9,8,8,7,12,161,147,179,165,176,143,185,143,8841,8162,9457,9539,9686,7503,10425,8606,38.511396000000005,35.553672000000006,41.194692,41.55188400000001,42.192216,32.683068000000006,45.411300000000004,37.487736000000005,5.864285714285714,6.335714285714285,5.828571428571428,5.614285714285714,6.042857142857143,6.621428571428571,6.55,6.3428571428571425
