,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 68 256],[ 60 275],[1.1935440000000002],1.2340709236283065,0,44.105839416058394,65.9963503649635,73.22992700729927,84.48905109489051,89.63868613138686,83.74452554744525,77.01094890510949,75.82846715328468,7,11,11,22,17,14,15,11,143,171,197,212,223,205,172,173,12085,18083,20065,23150,24561,22946,21101,20777,52.64226000000001,78.76954800000001,87.40314000000001,100.84140000000001,106.987716,99.95277600000001,91.91595600000001,90.50461200000001,7.266423357664234,7.689781021897811,7.905109489051095,8.952554744525548,8.594890510948906,8.806569343065693,9.357664233576642,8.503649635036496
Spine: 1,0,[ 92 246],[ 97 231],[0.7666560000000001],2.4701965140120077,0,35.16477272727273,25.244318181818183,21.142045454545453,18.539772727272727,17.875,17.755681818181817,17.829545454545453,19.272727272727273,9,7,6,7,8,6,7,9,106,84,70,61,80,49,49,73,6189,4443,3721,3263,3146,3125,3138,3392,26.959284000000004,19.353708,16.208676,14.213628000000002,13.703976,13.6125,13.669128000000002,14.775552000000001,8.346590909090908,7.9602272727272725,7.5227272727272725,7.619318181818182,8.221590909090908,8.306818181818182,9.193181818181818,9.051136363636363
Spine: 2,0,[ 86 264],[ 77 284],[1.32858],2.5437318679301213,0,50.38032786885246,68.68196721311476,87.1704918032787,114.58032786885246,97.57704918032788,89.35737704918033,90.82295081967213,73.58032786885246,6,8,10,15,21,16,14,8,153,171,201,214,208,188,173,176,15366,20948,26587,34947,29761,27254,27701,22442,66.934296,91.24948800000001,115.81297200000002,152.22913200000002,129.63891600000002,118.71842400000001,120.66555600000001,97.75735200000001,6.675409836065573,7.026229508196721,7.022950819672131,7.839344262295082,7.714754098360656,7.498360655737705,7.760655737704918,6.977049180327869
Spine: 3,0,[138 251],[147 222],[1.0149480000000002],5.503909656162587,0,23.339055793991417,23.5793991416309,24.38197424892704,28.326180257510728,26.523605150214593,29.051502145922747,26.120171673819744,31.103004291845494,8,7,5,6,7,7,6,6,55,84,75,82,81,101,83,85,5438,5494,5681,6600,6180,6769,6086,7247,23.687928000000003,23.931864000000004,24.746436000000003,28.749600000000004,26.920080000000002,29.485764000000003,26.510616000000002,31.567932000000003,6.309012875536481,5.261802575107296,5.236051502145923,5.339055793991417,5.3004291845493565,5.510729613733906,5.3218884120171674,5.785407725321888
Spine: 4,0,[220 271],[216 253],[0.82764],11.55810282338215,0,39.189473684210526,28.44736842105263,27.3,55.72631578947368,37.27368421052632,44.94736842105263,35.50526315789474,28.989473684210527,7,6,7,9,7,8,7,8,114,76,81,154,116,160,104,95,7446,5405,5187,10588,7082,8540,6746,5508,32.43477600000001,23.544180000000004,22.594572000000003,46.121328000000005,30.849192000000002,37.20024,29.385576000000004,23.992848000000002,8.205263157894738,7.994736842105263,8.289473684210526,9.326315789473684,8.83157894736842,9.094736842105263,8.83157894736842,9.426315789473684
Spine: 5,0,[220 296],[226 326],[0.9321840000000001],11.234511200404146,0,48.81308411214953,50.42056074766355,58.24766355140187,79.6355140186916,63.89719626168224,81.59345794392523,69.33644859813084,84.8177570093458,6,8,9,14,11,15,15,21,130,133,173,185,153,185,149,199,10446,10790,12465,17042,13674,17461,14838,18151,45.502776000000004,47.00124,54.297540000000005,74.234952,59.563944000000006,76.06011600000001,64.63432800000001,79.06575600000001,5.719626168224299,5.537383177570093,5.738317757009346,6.135514018691588,6.163551401869159,6.579439252336448,6.52803738317757,6.630841121495327
Spine: 6,0,[247 256],[247 216],[1.210968],13.643179129907752,0,27.58992805755396,31.615107913669064,30.276978417266186,43.50359712230216,38.79136690647482,43.611510791366904,36.37769784172662,34.068345323741006,6,6,6,5,6,7,7,6,99,133,139,187,162,156,150,136,7670,8789,8417,12094,10784,12124,10113,9471,33.410520000000005,38.284884000000005,36.664452000000004,52.681464000000005,46.97510400000001,52.812144,44.05222800000001,41.25567600000001,5.579136690647482,5.266187050359712,4.956834532374101,5.212230215827338,5.514388489208633,5.18705035971223,5.151079136690647,5.31294964028777
