,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 80 308],[ 64 384],[0.7579440000000001],2.43360628740727,0,26.24712643678161,22.201149425287355,26.333333333333332,77.72413793103448,50.189655172413794,44.14367816091954,30.482758620689655,35.71264367816092,7,6,6,10,7,5,6,6,88,71,90,190,151,128,117,145,4567,3863,4582,13524,8733,7681,5304,6214,19.893852000000003,16.827228,19.959192,58.91054400000001,38.04094800000001,33.458436000000006,23.104224000000002,27.068184000000002,5.7011494252873565,5.591954022988506,5.609195402298851,5.568965517241379,6.103448275862069,6.224137931034483,6.235632183908046,6.172413793103448
Spine: 1,0,[101 287],[ 83.53886667 333.33576298],[0.9452520000000001],3.5208741406133623,0,35.866359447004605,37.6036866359447,43.29032258064516,68.29493087557604,64.3410138248848,64.11059907834101,58.51152073732719,57.11059907834101,8,11,11,14,10,12,10,10,96,112,124,211,185,150,168,149,7783,8160,9394,14820,13962,13912,12697,12393,33.902748,35.54496,40.920264,64.55592,60.81847200000001,60.60067200000001,55.30813200000001,53.98390800000001,6.967741935483871,6.764976958525345,6.668202764976958,7.184331797235023,7.023041474654378,6.815668202764977,7.423963133640553,6.806451612903226
Spine: 2,0,[131 287],[116.01748817 336.47885539],[0.7971480000000001],5.100463362215575,0,56.240437158469945,63.01092896174863,59.387978142076506,122.08743169398907,88.61748633879782,67.08196721311475,53.923497267759565,66.78142076502732,13,12,10,18,9,9,7,9,169,190,187,231,218,216,200,198,10292,11531,10868,22342,16217,12276,9868,12221,44.83195200000001,50.22903600000001,47.341008,97.32175200000002,70.64125200000001,53.474256000000004,42.98500800000001,53.23467600000001,6.863387978142076,6.770491803278689,6.852459016393443,7.0710382513661205,6.879781420765028,6.978142076502732,6.885245901639344,7.131147540983607
Spine: 3,0,[145 278],[139.06683246 331.24036805],[0.9713880000000001],6.135896259903624,0,72.2152466367713,80.11659192825113,74.88340807174887,149.2556053811659,128.39013452914799,112.57847533632287,103.63677130044843,92.39910313901345,14,13,10,38,36,32,22,13,227,200,211,255,232,235,227,218,16104,17866,16699,33284,28631,25105,23111,20605,70.14902400000001,77.824296,72.74084400000001,144.985104,124.71663600000001,109.35738,100.67151600000001,89.75538000000002,8.786363636363637,8.24090909090909,8.163636363636364,8.840909090909092,8.395454545454545,7.636363636363637,7.681818181818182,7.7681818181818185
Spine: 4,0,[130 253],[162.11617675 192.94430231],[0.622908],5.858617462053023,0,67.20979020979021,66.27272727272727,59.44755244755245,63.51048951048951,48.56643356643357,36.93706293706294,37.86713286713287,40.29370629370629,12,10,11,12,9,10,10,10,213,211,207,160,145,123,111,142,9611,9477,8501,9082,6945,5282,5415,5762,41.86551600000001,41.281812,37.030356000000005,39.561192000000005,30.252420000000004,23.008392000000004,23.587740000000004,25.099272000000003,8.727272727272727,9.636363636363637,10.076923076923077,10.363636363636363,9.965034965034965,9.573426573426573,9.874125874125873,9.608391608391608
Spine: 5,0,[189 249],[184 222],[0.8363520000000001],9.385400492888174,0,51.317708333333336,56.161458333333336,65.65104166666667,101.46354166666667,81.203125,90.71354166666667,96.90625,90.72916666666667,7,8,8,14,10,12,21,10,144,176,181,223,220,207,197,181,9853,10783,12605,19481,15591,17417,18606,17420,42.919668,46.97074800000001,54.90738,84.85923600000001,67.91439600000001,75.868452,81.04773600000001,75.88152000000001,8.885416666666666,8.354166666666666,8.515625,8.484375,8.557291666666666,8.411458333333334,8.479166666666666,8.5
Spine: 6,0,[252 229],[245 197],[0.7579440000000001],13.80103700054628,0,43.10344827586207,44.833333333333336,44.68390804597701,67.50574712643679,77.20114942528735,70.89655172413794,58.57471264367816,52.4367816091954,8,8,10,11,16,18,12,12,130,131,127,173,183,149,149,134,7500,7801,7775,11746,13433,12336,10192,9124,32.67,33.981156000000006,33.867900000000006,51.16557600000001,58.514148000000006,53.73561600000001,44.39635200000001,39.744144000000006,7.114942528735632,6.994252873563219,7.0344827586206895,6.919540229885057,7.074712643678161,7.2298850574712645,7.224137931034483,8.442528735632184
