,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[311 244],[314 216],[0.8755560000000001],1.7671826126540537,46.069651741293534,45.98009950248756,42.11940298507463,43.766169154228855,51.22885572139303,51.38805970149254,59.73134328358209,65.51243781094527,5,6,7,8,9,7,6,11,141,138,142,126,127,175,141,155,9260,9242,8466,8797,10297,10329,12006,13168,8107.6485600000005,8091.888552000001,7412.457096000001,7702.266132000001,9015.600132000001,9043.617924,10511.925336000002,11529.321408000002,4.875621890547263,5.338308457711443,5.373134328358209,5.736318407960199,5.676616915422885,5.776119402985074,5.955223880597015,6.149253731343284
Spine: 1,0,[333 248],[333 226],[0.8581320000000001],3.334710887291828,70.21827411167513,61.43654822335025,46.10659898477157,49.243654822335024,66.41624365482234,66.05076142131979,56.807106598984774,66.8527918781726,8,7,8,7,10,10,9,11,176,181,138,157,173,168,210,190,13833,12103,9083,9701,13084,13012,11191,13170,11870.539956,10385.971596000001,7794.412956000001,8324.738532000001,11227.799088000002,11166.013584000002,9603.355212,11301.598440000002,6.431472081218274,6.395939086294416,6.233502538071066,6.274111675126903,6.253807106598985,6.461928934010152,6.147208121827411,6.725888324873097
Spine: 2,0,[365 249],[368 225],[0.7579440000000001],5.32402970610984,46.18390804597701,52.804597701149426,50.95402298850575,51.14942528735632,59.85632183908046,55.97701149425287,59.95977011494253,86.55747126436782,6,8,6,6,9,8,10,14,131,146,138,174,161,159,164,193,8036,9188,8866,8900,10415,9740,10433,15061,6090.837984000001,6963.989472000001,6719.931504000001,6745.7016,7893.986760000001,7382.374560000001,7907.629752000001,11415.394584000001,5.166666666666667,5.005747126436781,5.431034482758621,5.310344827586207,5.9655172413793105,5.35632183908046,5.82183908045977,6.137931034482759
Spine: 3,0,[382 244],[389 206],[0.9191160000000002],6.573797264122011,23.597156398104264,21.194312796208532,22.327014218009477,21.01421800947867,21.895734597156398,21.27962085308057,26.86729857819905,35.08530805687204,3,1,5,2,5,4,5,5,82,80,74,75,80,64,76,148,4979,4472,4711,4434,4620,4490,5669,7403,4576.278564,4110.286752000001,4329.955476,4075.3603440000006,4246.315920000001,4126.8308400000005,5210.468604000001,6804.2157480000005,4.151658767772512,4.398104265402844,4.545023696682464,4.819905213270142,4.450236966824645,4.478672985781991,5.151658767772512,5.014218009478673
Spine: 4,0,[381 278],[375 306],[0.9757440000000002],6.716177578232334,29.415178571428573,25.053571428571427,29.308035714285715,33.901785714285715,26.147321428571427,28.580357142857142,27.107142857142858,28.4375,3,4,3,4,4,4,5,5,99,68,119,115,84,79,83,88,6589,5612,6565,7594,5857,6402,6072,6370,6429.177216000001,5475.875328000001,6405.759360000001,7409.799936000001,5714.932608000001,6246.713088,5924.717568000001,6215.489280000001,4.995535714285714,5.245535714285714,5.321428571428571,5.205357142857143,5.107142857142857,5.375,5.080357142857143,5.357142857142857
Spine: 5,0,[422 262],[427.66045351 297.10167287],[0.7710120000000001],9.249765494601608,91.98870056497175,100.30508474576271,108.31073446327683,90.29378531073446,89.59322033898304,95.36723163841808,75.77401129943503,101.79661016949153,16,22,23,13,15,15,14,15,233,197,217,203,208,195,163,216,16282,17754,19171,15982,15858,16880,13412,18018,12553.617384000001,13688.547048000002,14781.071052000001,12322.313784000002,12226.708296,13014.682560000001,10340.812944000001,13892.094216000001,5.590909090909091,5.5625,5.573863636363637,5.7272727272727275,5.363636363636363,5.301136363636363,5.8125,6.051136363636363
Spine: 6,0,[431 237],[439 192],[0.7971480000000001],10.029550269867668,43.98360655737705,54.81967213114754,54.81967213114754,59.5792349726776,67.38251366120218,61.89617486338798,61.25136612021858,59.349726775956285,5,7,6,8,6,17,9,8,119,180,195,185,212,181,194,189,8049,10032,10032,10903,12331,11327,11209,10861,6416.244252,7996.988736000001,7996.988736000001,8691.304644000002,9829.631988000001,9029.295396000001,8935.231932,8657.824428000002,3.7650273224043715,3.4754098360655736,4.065573770491803,3.918032786885246,3.9617486338797816,4.0,4.360655737704918,4.66120218579235
