,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 35 266],[ 39.33472975 220.63736766],[0.8929800000000001],1.330710325571113,0,66.18536585365854,63.05853658536585,56.88292682926829,91.10731707317073,80.10243902439025,68.10243902439025,48.073170731707314,68.81463414634146,8,9,7,21,15,11,6,6,196,184,154,168,192,190,154,187,13568,12927,11661,18677,16421,13961,9855,14107,59.102208000000005,56.31001200000001,50.79531600000001,81.35701200000001,71.529876,60.814116000000006,42.928380000000004,61.450092000000005,5.802030456852792,6.00507614213198,6.228426395939087,6.649746192893401,6.208121827411167,6.83756345177665,6.939086294416244,6.700507614213198
Spine: 1,0,[ 71 269],[ 34.93296326 205.23118497],[0.9365400000000002],3.509882401667998,0,39.44651162790698,28.767441860465116,29.41860465116279,39.967441860465115,56.269767441860466,60.17674418604651,58.753488372093024,48.348837209302324,6,6,5,7,8,10,7,5,117,93,120,117,153,158,174,161,8481,6185,6325,8593,12098,12938,12632,10395,36.943236000000006,26.941860000000002,27.551700000000004,37.431108,52.698888000000004,56.35792800000001,55.024992000000005,45.280620000000006,5.412037037037037,5.49537037037037,5.592592592592593,5.361111111111111,5.532407407407407,5.861111111111111,6.171296296296297,5.972222222222222
Spine: 2,0,[ 75 240],[ 63.5444454 217.3360428],[0.6882480000000001],4.144121982704885,0,63.69620253164557,65.01898734177215,75.27848101265823,145.39240506329114,99.16455696202532,92.5632911392405,104.0379746835443,93.78481012658227,7,7,11,18,13,11,28,13,175,143,185,255,241,205,211,230,10064,10273,11894,22972,15668,14625,16438,14818,43.838784000000004,44.749188000000004,51.810264000000004,100.066032,68.249808,63.706500000000005,71.60392800000001,64.54720800000001,6.481012658227848,5.7025316455696204,6.493670886075949,6.689873417721519,6.575949367088608,6.632911392405063,6.8734177215189876,7.031645569620253
Spine: 3,0,[ 92 237],[111.96387671 215.13515956],[0.810216],5.150357438617984,0,35.03763440860215,38.774193548387096,46.97849462365591,36.31720430107527,38.284946236559136,40.24731182795699,54.11290322580645,46.80107526881721,8,6,8,8,7,7,7,9,102,161,209,154,132,166,204,187,6517,7212,8738,6755,7121,7486,10065,8705,28.388052000000002,31.415472000000005,38.06272800000001,29.424780000000002,31.019076000000002,32.609016000000004,43.843140000000005,37.918980000000005,5.5136612021857925,5.885245901639344,6.049180327868853,6.147540983606557,6.060109289617486,6.360655737704918,6.601092896174864,6.136612021857924
Spine: 4,0,[135 246],[140 224],[0.901692],8.516554737110825,0,44.4975845410628,60.111111111111114,55.59903381642512,117.54106280193237,80.68115942028986,62.14009661835749,82.7536231884058,73.42512077294685,6,7,6,16,14,9,16,13,127,159,136,236,200,168,187,146,9211,12443,11509,24331,16701,12863,17130,15199,40.123116,54.201708,50.133204000000006,105.985836,72.74955600000001,56.031228000000006,74.61828000000001,66.206844,5.956521739130435,6.971014492753623,6.758454106280193,7.357487922705314,7.106280193236715,6.961352657004831,7.101449275362318,7.14975845410628
Spine: 5,0,[164 255],[107.56211022 197.52809363],[0.753588],10.025298101618212,0,39.16763005780347,48.84971098265896,51.31791907514451,69.46820809248555,60.421965317919074,65.44508670520231,86.55491329479769,79.76300578034682,6,10,9,10,9,11,15,13,110,130,161,229,164,187,233,208,6776,8451,8878,12018,10453,11322,14974,13799,29.516256000000002,36.812556,38.672568000000005,52.35040800000001,45.53326800000001,49.31863200000001,65.22674400000001,60.108444000000006,5.157894736842105,6.076023391812866,5.637426900584796,5.590643274853801,5.695906432748538,5.701754385964913,5.888888888888889,5.771929824561403
Spine: 6,0,[188 274],[ 71.24753674 176.61970283],[0.5401440000000001],11.524824046679056,0,63.895161290322584,83.50806451612904,74.79032258064517,72.34677419354838,86.80645161290323,89.13709677419355,71.16935483870968,68.6774193548387,16,16,18,11,11,14,8,10,132,229,152,164,216,198,162,158,7923,10355,9274,8971,10764,11053,8825,8516,34.512588,45.10638000000001,40.397544,39.077676000000004,46.887984,48.146868000000005,38.441700000000004,37.095696000000004,5.142857142857143,6.260504201680672,5.109243697478991,5.0,5.899159663865547,5.61344537815126,5.890756302521009,5.73109243697479
