,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[323 132],[326 154],[1.367784],22.948748163103225,37.7515923566879,30.21019108280255,35.48407643312102,142.88535031847132,91.10828025477707,63.39808917197452,68.46496815286625,74.53503184713375,6,6,6,30,12,8,10,16,177,116,140,255,254,203,220,221,11854,9486,11142,44866,28608,19907,21498,23404,16213.711536000003,12974.799024000002,15239.849328000002,61366.996944000006,39129.56467200001,27228.476088000003,29404.620432000003,32011.616736000004,6.063694267515924,5.503184713375796,5.980891719745223,10.987261146496815,8.605095541401274,8.203821656050955,8.337579617834395,8.328025477707007
Spine: 1,0,[317 107],[312  78],[0.8189280000000001],22.829394498319534,47.25,33.70744680851064,30.70744680851064,51.92553191489362,26.345744680851062,25.51063829787234,17.159574468085108,14.414893617021276,9,6,5,10,6,5,4,5,176,109,93,188,105,123,92,67,8883,6337,5773,9762,4953,4796,3226,2710,7274.537424000001,5189.546736,4727.671344,7994.375136000001,4056.1503840000005,3927.5786880000005,2641.8617280000003,2219.2948800000004,5.303191489361702,4.962765957446808,5.48936170212766,5.654255319148936,5.829787234042553,5.5638297872340425,5.303191489361702,5.547872340425532
Spine: 2,0,[284 124],[276 110],[0.701316],20.656627700953067,60.16770186335404,56.37888198757764,44.484472049689444,141.98136645962734,104.30434782608695,82.42857142857143,65.91304347826087,59.30434782608695,13,12,7,20,15,10,8,8,173,126,118,253,251,217,164,193,9687,9077,7162,22859,16793,13271,10612,9548,6793.648092,6365.845332000001,5022.825192,16031.382444000003,11777.199588000001,9307.164636000001,7442.365392000001,6696.165168,7.527950310559007,7.285714285714286,6.968944099378882,9.652173913043478,8.354037267080745,7.428571428571429,7.0,6.968944099378882
