,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[220 357],[213 338],[0.753588],1.8505280422468773,46.323699421965316,48.61271676300578,53.34104046242775,43.127167630057805,56.13294797687861,61.51445086705202,41.39306358381503,49.17341040462428,6,6,8,4,5,6,3,5,166,142,163,142,180,138,139,166,8014,8410,9228,7461,9711,10642,7161,8507,6039.254232000001,6337.675080000001,6954.110064,5622.520068000001,7318.093068000001,8019.683496000001,5396.443668000001,6410.773116,6.942196531791907,6.254335260115607,7.034682080924855,5.705202312138728,6.84393063583815,6.797687861271676,6.15606936416185,7.07514450867052
Spine: 1,0,[289 346],[289 326],[1.2806640000000002],6.264041399634838,65.3843537414966,75.24149659863946,74.3061224489796,76.56462585034014,63.66326530612245,72.7687074829932,101.43197278911565,105.0374149659864,4,9,6,6,6,8,12,15,184,195,204,206,183,188,217,217,19223,22121,21846,22510,18717,21394,29821,30881,24618.204072000004,28329.568344000003,27977.385744000003,28827.746640000005,23970.188088000003,27398.525616000003,38190.681144,39548.18498400001,7.908163265306122,7.5646258503401365,7.945578231292517,7.840136054421769,8.343537414965986,8.870748299319727,8.928571428571429,9.04421768707483
Spine: 2,0,[357 377],[357 419],[1.8382320000000003],10.764039014531646,25.149289099526065,23.70616113744076,23.990521327014218,21.47867298578199,33.22985781990521,31.24170616113744,20.281990521327014,23.992890995260662,5,4,7,3,8,7,5,6,109,90,68,61,169,156,62,72,10613,10004,10124,9064,14023,13184,8559,10125,19509.156216000003,18389.672928000004,18610.260768000004,16661.734848000004,25777.527336000003,24235.250688000004,15733.427688000002,18612.099000000002,10.049763033175356,7.684834123222749,9.483412322274882,8.26777251184834,9.438388625592417,9.45260663507109,8.753554502369669,9.436018957345972
