Dendrite: 0,Timestep 1 (Luminosity),Timestep 2 (Luminosity),Timestep 3 (Luminosity),Timestep 4 (Luminosity),Timestep 5 (Luminosity),Timestep 6 (Luminosity),Timestep 7 (Luminosity),Timestep 8 (Luminosity)
"[233.0, 214.0]",20.0,18.0,20.0,15.0,27.0,22.0,21.0,27.0
"[233.0, 215.0]",29.0,15.0,18.0,29.0,27.0,20.0,26.0,31.0
"[233.0, 216.0]",18.0,21.0,29.0,20.0,35.0,34.0,12.0,23.0
"[233.0, 216.0]",18.0,21.0,29.0,20.0,35.0,34.0,12.0,23.0
"[234.0, 218.0]",36.0,16.0,27.0,40.0,28.0,48.0,41.0,46.0
"[234.0, 218.0]",36.0,16.0,27.0,40.0,28.0,48.0,41.0,46.0
"[234.0, 219.0]",52.0,29.0,22.0,24.0,36.0,67.0,61.0,54.0
"[234.0, 221.0]",98.0,30.0,28.0,51.0,125.0,77.0,96.0,83.0
"[235.0, 222.0]",126.0,47.0,61.0,66.0,89.0,69.0,70.0,149.0
"[235.0, 222.0]",126.0,47.0,61.0,66.0,89.0,69.0,70.0,149.0
"[235.0, 224.0]",92.0,72.0,62.0,61.0,85.0,58.0,55.0,91.0
"[235.0, 225.0]",128.0,39.0,56.0,49.0,83.0,34.0,93.0,60.0
"[235.0, 225.0]",128.0,39.0,56.0,49.0,83.0,34.0,93.0,60.0
"[235.0, 227.0]",57.0,38.0,31.0,22.0,66.0,73.0,29.0,39.0
"[236.0, 228.0]",115.0,32.0,61.0,36.0,47.0,50.0,54.0,33.0
"[236.0, 229.0]",120.0,37.0,43.0,26.0,36.0,61.0,38.0,33.0
"[236.0, 229.0]",120.0,37.0,43.0,26.0,36.0,61.0,38.0,33.0
"[236.0, 231.0]",33.0,35.0,39.0,34.0,57.0,67.0,43.0,45.0
"[236.0, 231.0]",33.0,35.0,39.0,34.0,57.0,67.0,43.0,45.0
"[236.0, 232.0]",96.0,49.0,48.0,58.0,66.0,45.0,46.0,29.0
"[236.0, 233.0]",102.0,46.0,77.0,52.0,54.0,60.0,31.0,40.0
"[237.0, 235.0]",69.0,47.0,54.0,51.0,77.0,62.0,37.0,44.0
"[237.0, 236.0]",46.0,63.0,46.0,63.0,79.0,66.0,26.0,31.0
"[237.0, 237.0]",50.0,33.0,59.0,37.0,21.0,23.0,20.0,29.0
"[237.0, 237.0]",50.0,33.0,59.0,37.0,21.0,23.0,20.0,29.0
"[237.0, 238.0]",94.0,35.0,28.0,36.0,45.0,29.0,24.0,17.0
"[237.0, 240.0]",72.0,23.0,37.0,46.0,28.0,20.0,21.0,11.0
"[237.0, 241.0]",58.0,19.0,32.0,23.0,26.0,19.0,30.0,13.0
"[237.0, 241.0]",58.0,19.0,32.0,23.0,26.0,19.0,30.0,13.0
"[237.0, 242.0]",38.0,22.0,26.0,17.0,24.0,21.0,15.0,17.0
"[237.0, 244.0]",40.0,29.0,20.0,20.0,23.0,14.0,28.0,19.0
"[237.0, 245.0]",57.0,33.0,37.0,18.0,16.0,16.0,21.0,12.0
"[237.0, 245.0]",57.0,33.0,37.0,18.0,16.0,16.0,21.0,12.0
"[237.0, 247.0]",41.0,18.0,30.0,13.0,17.0,40.0,32.0,15.0
"[237.0, 248.0]",67.0,12.0,16.0,21.0,19.0,29.0,19.0,15.0
"[238.0, 248.0]",87.0,30.0,26.0,14.0,29.0,32.0,23.0,37.0
"[238.0, 250.0]",79.0,28.0,16.0,21.0,21.0,32.0,37.0,20.0
"[238.0, 251.0]",64.0,19.0,36.0,15.0,24.0,24.0,20.0,21.0
"[238.0, 251.0]",64.0,19.0,36.0,15.0,24.0,24.0,20.0,21.0
"[238.0, 253.0]",65.0,24.0,28.0,40.0,16.0,43.0,49.0,27.0
"[238.0, 254.0]",63.0,21.0,25.0,19.0,46.0,32.0,79.0,44.0
"[238.0, 255.0]",82.0,22.0,53.0,31.0,23.0,60.0,107.0,45.0
"[238.0, 256.0]",113.0,32.0,57.0,47.0,45.0,69.0,84.0,86.0
"[238.0, 257.0]",136.0,55.0,57.0,60.0,51.0,72.0,88.0,141.0
"[238.0, 258.0]",130.0,83.0,84.0,76.0,44.0,72.0,68.0,94.0
"[238.0, 258.0]",130.0,83.0,84.0,76.0,44.0,72.0,68.0,94.0
"[238.0, 259.0]",105.0,50.0,68.0,67.0,69.0,85.0,53.0,72.0
"[238.0, 261.0]",109.0,49.0,61.0,65.0,94.0,66.0,20.0,100.0
"[238.0, 262.0]",63.0,45.0,99.0,52.0,69.0,28.0,31.0,45.0
"[238.0, 263.0]",77.0,39.0,60.0,68.0,94.0,26.0,20.0,32.0
"[238.0, 264.0]",59.0,53.0,39.0,50.0,60.0,24.0,23.0,26.0
"[238.0, 265.0]",58.0,30.0,46.0,29.0,39.0,25.0,19.0,32.0
"[238.0, 266.0]",42.0,18.0,41.0,31.0,15.0,29.0,45.0,22.0
"[238.0, 267.0]",82.0,23.0,44.0,21.0,27.0,21.0,31.0,44.0
"[238.0, 268.0]",97.0,27.0,36.0,17.0,28.0,19.0,34.0,39.0
"[238.0, 269.0]",81.0,27.0,36.0,28.0,37.0,20.0,30.0,43.0
"[238.0, 270.0]",141.0,50.0,26.0,30.0,26.0,18.0,39.0,41.0
"[238.0, 271.0]",92.0,31.0,51.0,36.0,27.0,35.0,50.0,60.0
"[238.0, 272.0]",132.0,23.0,47.0,40.0,32.0,41.0,36.0,81.0
"[238.0, 273.0]",86.0,17.0,53.0,36.0,29.0,15.0,77.0,56.0
"[238.0, 274.0]",88.0,36.0,33.0,24.0,18.0,27.0,65.0,80.0
"[238.0, 275.0]",72.0,32.0,38.0,24.0,33.0,36.0,56.0,82.0
"[238.0, 276.0]",69.0,24.0,23.0,33.0,26.0,30.0,83.0,82.0
"[238.0, 277.0]",55.0,43.0,23.0,44.0,25.0,38.0,70.0,59.0
"[238.0, 278.0]",77.0,40.0,31.0,27.0,34.0,20.0,72.0,86.0
"[238.0, 279.0]",51.0,44.0,50.0,29.0,40.0,46.0,59.0,66.0
"[238.0, 280.0]",73.0,36.0,52.0,21.0,31.0,48.0,96.0,108.0
"[238.0, 281.0]",73.0,51.0,47.0,52.0,50.0,95.0,113.0,93.0
"[238.0, 282.0]",133.0,58.0,67.0,52.0,44.0,85.0,164.0,97.0
"[238.0, 283.0]",86.0,49.0,53.0,74.0,55.0,94.0,108.0,99.0
"[238.0, 284.0]",135.0,72.0,55.0,74.0,64.0,73.0,77.0,138.0
"[238.0, 285.0]",98.0,68.0,90.0,50.0,92.0,58.0,157.0,129.0
"[238.0, 285.0]",98.0,68.0,90.0,50.0,92.0,58.0,157.0,129.0
"[237.0, 287.0]",84.0,45.0,38.0,54.0,73.0,26.0,47.0,64.0
"[237.0, 288.0]",86.0,51.0,43.0,42.0,71.0,27.0,20.0,49.0
"[237.0, 289.0]",81.0,94.0,32.0,29.0,69.0,22.0,35.0,26.0
"[237.0, 289.0]",81.0,94.0,32.0,29.0,69.0,22.0,35.0,26.0
"[237.0, 291.0]",50.0,41.0,17.0,16.0,25.0,23.0,29.0,22.0
"[237.0, 292.0]",35.0,31.0,13.0,16.0,13.0,15.0,14.0,12.0
"[237.0, 293.0]",28.0,20.0,19.0,13.0,20.0,14.0,23.0,28.0
"[236.0, 294.0]",30.0,11.0,10.0,14.0,12.0,10.0,17.0,30.0
"[236.0, 294.0]",30.0,11.0,10.0,14.0,12.0,10.0,17.0,30.0
"[236.0, 296.0]",19.0,15.0,12.0,12.0,16.0,20.0,11.0,22.0
"[236.0, 297.0]",24.0,19.0,19.0,12.0,13.0,10.0,12.0,18.0
"[236.0, 298.0]",13.0,14.0,26.0,14.0,16.0,24.0,40.0,12.0
"[236.0, 299.0]",26.0,10.0,27.0,15.0,14.0,11.0,11.0,32.0
"[235.0, 300.0]",17.0,21.0,11.0,16.0,12.0,21.0,27.0,34.0
"[235.0, 301.0]",21.0,24.0,10.0,13.0,13.0,17.0,30.0,33.0
"[235.0, 302.0]",32.0,15.0,22.0,17.0,6.0,9.0,14.0,24.0
"[235.0, 303.0]",25.0,13.0,10.0,17.0,6.0,17.0,45.0,25.0
"[235.0, 304.0]",24.0,27.0,12.0,18.0,22.0,30.0,41.0,28.0
"[234.0, 305.0]",15.0,20.0,17.0,30.0,33.0,17.0,46.0,39.0
"[234.0, 306.0]",15.0,21.0,17.0,28.0,15.0,33.0,78.0,40.0
"[234.0, 306.0]",15.0,21.0,17.0,28.0,15.0,33.0,78.0,40.0
"[234.0, 308.0]",16.0,21.0,26.0,30.0,21.0,40.0,50.0,74.0
"[233.0, 309.0]",24.0,37.0,44.0,40.0,23.0,29.0,79.0,157.0
"[233.0, 309.0]",24.0,37.0,44.0,40.0,23.0,29.0,79.0,157.0
"[233.0, 311.0]",31.0,42.0,61.0,55.0,56.0,63.0,142.0,142.0
"[233.0, 311.0]",31.0,42.0,61.0,55.0,56.0,63.0,142.0,142.0
"[233.0, 312.0]",32.0,79.0,78.0,81.0,66.0,54.0,104.0,225.0
"[232.0, 314.0]",70.0,58.0,95.0,115.0,98.0,78.0,144.0,163.0
"[232.0, 315.0]",97.0,77.0,120.0,82.0,87.0,64.0,87.0,154.0
"[232.0, 315.0]",97.0,77.0,120.0,82.0,87.0,64.0,87.0,154.0
"[232.0, 317.0]",95.0,77.0,97.0,118.0,44.0,104.0,164.0,151.0
"[231.0, 318.0]",100.0,89.0,108.0,102.0,84.0,94.0,253.0,219.0
"[231.0, 319.0]",98.0,72.0,79.0,107.0,51.0,133.0,246.0,181.0
"[231.0, 319.0]",98.0,72.0,79.0,107.0,51.0,133.0,246.0,181.0
"[231.0, 321.0]",155.0,135.0,162.0,140.0,76.0,124.0,225.0,178.0
"[231.0, 321.0]",155.0,135.0,162.0,140.0,76.0,124.0,225.0,178.0
"[230.0, 323.0]",90.0,116.0,147.0,91.0,69.0,86.0,84.0,126.0
"[230.0, 324.0]",88.0,110.0,83.0,77.0,88.0,64.0,56.0,115.0
"[230.0, 325.0]",72.0,103.0,88.0,98.0,84.0,60.0,67.0,73.0
"[230.0, 326.0]",96.0,97.0,86.0,53.0,78.0,67.0,51.0,71.0
"[230.0, 327.0]",83.0,74.0,55.0,65.0,46.0,38.0,57.0,77.0
"[229.0, 328.0]",70.0,50.0,45.0,48.0,47.0,36.0,43.0,68.0
"[229.0, 329.0]",77.0,55.0,35.0,34.0,36.0,24.0,25.0,86.0
"[229.0, 330.0]",100.0,28.0,33.0,46.0,41.0,32.0,29.0,57.0
"[229.0, 331.0]",55.0,26.0,46.0,23.0,27.0,19.0,42.0,33.0
"[229.0, 332.0]",100.0,26.0,28.0,21.0,31.0,22.0,35.0,33.0
"[228.0, 333.0]",46.0,23.0,22.0,64.0,19.0,18.0,15.0,32.0
"[228.0, 334.0]",46.0,26.0,31.0,28.0,27.0,31.0,36.0,37.0
"[228.0, 335.0]",34.0,24.0,22.0,32.0,36.0,28.0,21.0,29.0
"[228.0, 335.0]",34.0,24.0,22.0,32.0,36.0,28.0,21.0,29.0
"[228.0, 336.0]",46.0,22.0,36.0,57.0,35.0,43.0,28.0,34.0
"[228.0, 338.0]",34.0,29.0,64.0,58.0,45.0,53.0,39.0,52.0
"[227.0, 338.0]",44.0,48.0,63.0,65.0,35.0,45.0,53.0,31.0
"[227.0, 340.0]",66.0,44.0,67.0,65.0,75.0,118.0,72.0,86.0
"[227.0, 341.0]",53.0,57.0,55.0,82.0,79.0,137.0,82.0,86.0
"[227.0, 342.0]",97.0,98.0,121.0,118.0,117.0,133.0,148.0,133.0
"[227.0, 343.0]",96.0,93.0,86.0,110.0,144.0,171.0,188.0,177.0
"[227.0, 344.0]",101.0,115.0,140.0,145.0,170.0,182.0,171.0,178.0
