Dendrite: 0,Timestep 1 (Luminosity),Timestep 2 (Luminosity),Timestep 3 (Luminosity),Timestep 4 (Luminosity),Timestep 5 (Luminosity),Timestep 6 (Luminosity),Timestep 7 (Luminosity),Timestep 8 (Luminosity)
"[123.0, 36.0]",72.0,119.0,255.0,255.0,255.0,255.0,255.0,255.0
"[124.0, 37.0]",101.0,109.0,255.0,255.0,255.0,255.0,255.0,255.0
"[124.0, 38.0]",125.0,65.0,255.0,255.0,255.0,255.0,255.0,255.0
"[124.0, 38.0]",125.0,65.0,255.0,255.0,255.0,255.0,255.0,255.0
"[125.0, 39.0]",100.0,90.0,255.0,255.0,255.0,255.0,255.0,255.0
"[125.0, 39.0]",100.0,90.0,255.0,255.0,255.0,255.0,255.0,255.0
"[126.0, 40.0]",150.0,132.0,255.0,255.0,255.0,255.0,255.0,255.0
"[126.0, 41.0]",118.0,103.0,255.0,255.0,255.0,255.0,255.0,255.0
"[127.0, 42.0]",194.0,109.0,255.0,255.0,255.0,255.0,255.0,255.0
"[127.0, 43.0]",150.0,129.0,255.0,255.0,255.0,255.0,255.0,255.0
"[128.0, 43.0]",163.0,126.0,255.0,255.0,255.0,255.0,255.0,255.0
"[129.0, 44.0]",172.0,227.0,255.0,255.0,255.0,255.0,255.0,255.0
"[129.0, 45.0]",175.0,197.0,255.0,255.0,255.0,255.0,255.0,255.0
"[130.0, 46.0]",149.0,224.0,255.0,255.0,255.0,255.0,255.0,255.0
"[131.0, 47.0]",209.0,223.0,255.0,255.0,255.0,255.0,255.0,255.0
"[131.0, 48.0]",221.0,220.0,255.0,255.0,255.0,255.0,255.0,255.0
"[132.0, 49.0]",136.0,147.0,255.0,255.0,255.0,255.0,255.0,255.0
"[132.0, 50.0]",93.0,113.0,255.0,255.0,255.0,243.0,255.0,255.0
"[133.0, 51.0]",119.0,127.0,255.0,255.0,255.0,237.0,252.0,255.0
"[134.0, 52.0]",74.0,98.0,255.0,255.0,237.0,241.0,211.0,252.0
"[135.0, 53.0]",86.0,75.0,244.0,255.0,164.0,199.0,223.0,243.0
"[135.0, 54.0]",83.0,74.0,245.0,248.0,169.0,165.0,129.0,200.0
"[136.0, 55.0]",85.0,49.0,208.0,214.0,129.0,160.0,115.0,197.0
"[137.0, 56.0]",89.0,70.0,182.0,174.0,94.0,165.0,75.0,110.0
"[137.0, 57.0]",63.0,86.0,181.0,162.0,79.0,117.0,86.0,97.0
"[138.0, 58.0]",62.0,68.0,73.0,105.0,56.0,88.0,51.0,88.0
"[139.0, 59.0]",71.0,57.0,82.0,51.0,49.0,92.0,74.0,112.0
"[139.0, 60.0]",126.0,89.0,69.0,101.0,47.0,55.0,86.0,96.0
"[140.0, 61.0]",116.0,91.0,71.0,55.0,46.0,93.0,52.0,125.0
"[141.0, 62.0]",186.0,74.0,111.0,94.0,47.0,109.0,70.0,168.0
"[141.0, 63.0]",211.0,169.0,156.0,117.0,41.0,128.0,124.0,142.0
"[142.0, 64.0]",152.0,86.0,89.0,185.0,46.0,156.0,113.0,85.0
"[143.0, 65.0]",195.0,105.0,108.0,171.0,38.0,89.0,87.0,84.0
"[144.0, 66.0]",71.0,75.0,72.0,131.0,48.0,81.0,66.0,40.0
"[144.0, 67.0]",91.0,69.0,51.0,105.0,56.0,65.0,48.0,61.0
"[145.0, 68.0]",45.0,58.0,46.0,67.0,51.0,29.0,52.0,49.0
"[146.0, 69.0]",37.0,33.0,38.0,38.0,36.0,32.0,38.0,34.0
"[146.0, 70.0]",23.0,39.0,56.0,29.0,64.0,29.0,37.0,42.0
"[147.0, 71.0]",54.0,32.0,50.0,31.0,53.0,26.0,40.0,22.0
"[148.0, 72.0]",51.0,25.0,50.0,25.0,36.0,36.0,27.0,39.0
"[148.0, 73.0]",25.0,34.0,29.0,27.0,28.0,29.0,44.0,28.0
"[149.0, 74.0]",83.0,25.0,33.0,38.0,48.0,34.0,21.0,18.0
"[150.0, 75.0]",62.0,29.0,25.0,33.0,30.0,23.0,25.0,30.0
"[150.0, 76.0]",63.0,42.0,20.0,33.0,32.0,26.0,23.0,54.0
"[151.0, 77.0]",79.0,55.0,36.0,41.0,23.0,19.0,44.0,39.0
"[152.0, 77.0]",133.0,50.0,25.0,67.0,37.0,41.0,36.0,39.0
"[152.0, 78.0]",131.0,39.0,58.0,63.0,43.0,31.0,65.0,72.0
"[153.0, 79.0]",163.0,90.0,83.0,92.0,64.0,47.0,43.0,73.0
"[154.0, 81.0]",150.0,102.0,129.0,74.0,97.0,73.0,98.0,176.0
"[154.0, 82.0]",120.0,75.0,77.0,68.0,133.0,71.0,67.0,183.0
"[155.0, 83.0]",129.0,101.0,89.0,36.0,163.0,54.0,57.0,219.0
"[156.0, 83.0]",141.0,132.0,68.0,43.0,129.0,140.0,58.0,183.0
"[156.0, 85.0]",103.0,70.0,33.0,46.0,103.0,80.0,58.0,112.0
"[157.0, 86.0]",101.0,58.0,48.0,31.0,123.0,40.0,45.0,61.0
"[158.0, 86.0]",110.0,75.0,60.0,34.0,75.0,67.0,39.0,91.0
"[158.0, 88.0]",132.0,35.0,23.0,21.0,70.0,41.0,38.0,50.0
"[159.0, 88.0]",107.0,108.0,39.0,34.0,50.0,47.0,63.0,71.0
"[160.0, 90.0]",76.0,59.0,43.0,30.0,54.0,44.0,52.0,63.0
"[160.0, 91.0]",93.0,44.0,33.0,30.0,50.0,46.0,45.0,48.0
"[161.0, 91.0]",67.0,59.0,77.0,41.0,101.0,36.0,58.0,91.0
"[162.0, 92.0]",68.0,98.0,56.0,32.0,73.0,66.0,55.0,102.0
"[162.0, 94.0]",74.0,47.0,40.0,33.0,68.0,30.0,69.0,68.0
"[163.0, 94.0]",59.0,91.0,65.0,37.0,85.0,87.0,69.0,97.0
"[164.0, 96.0]",95.0,73.0,105.0,52.0,114.0,96.0,62.0,97.0
"[164.0, 96.0]",95.0,73.0,105.0,52.0,114.0,96.0,62.0,97.0
"[165.0, 97.0]",64.0,68.0,133.0,83.0,159.0,153.0,110.0,145.0
"[166.0, 99.0]",143.0,137.0,206.0,168.0,243.0,143.0,137.0,224.0
"[166.0, 99.0]",143.0,137.0,206.0,168.0,243.0,143.0,137.0,224.0
"[167.0, 101.0]",168.0,205.0,231.0,226.0,204.0,197.0,174.0,175.0
"[167.0, 102.0]",187.0,202.0,238.0,237.0,188.0,162.0,183.0,186.0
"[168.0, 103.0]",186.0,227.0,221.0,226.0,169.0,183.0,220.0,225.0
"[169.0, 104.0]",122.0,198.0,144.0,200.0,143.0,148.0,165.0,190.0
"[169.0, 105.0]",121.0,234.0,178.0,167.0,119.0,84.0,241.0,172.0
"[170.0, 105.0]",108.0,227.0,132.0,159.0,144.0,140.0,141.0,148.0
"[171.0, 107.0]",78.0,157.0,87.0,145.0,97.0,98.0,135.0,145.0
"[171.0, 108.0]",79.0,149.0,73.0,110.0,90.0,93.0,107.0,118.0
"[172.0, 109.0]",100.0,118.0,151.0,95.0,73.0,89.0,133.0,140.0
"[173.0, 109.0]",93.0,101.0,121.0,95.0,69.0,113.0,153.0,82.0
"[173.0, 111.0]",89.0,170.0,155.0,142.0,125.0,132.0,141.0,157.0
"[174.0, 112.0]",135.0,148.0,142.0,139.0,160.0,206.0,225.0,241.0
"[175.0, 112.0]",151.0,149.0,168.0,194.0,145.0,219.0,164.0,231.0
"[175.0, 114.0]",196.0,189.0,221.0,176.0,237.0,218.0,248.0,255.0
"[176.0, 114.0]",190.0,171.0,196.0,214.0,232.0,218.0,243.0,255.0
"[177.0, 115.0]",225.0,204.0,167.0,223.0,235.0,214.0,250.0,255.0
"[177.0, 116.0]",172.0,188.0,184.0,223.0,242.0,239.0,255.0,254.0
"[178.0, 118.0]",127.0,150.0,128.0,223.0,248.0,228.0,241.0,234.0
"[179.0, 118.0]",106.0,144.0,169.0,214.0,242.0,190.0,246.0,159.0
"[179.0, 120.0]",100.0,114.0,113.0,127.0,221.0,191.0,216.0,162.0
"[180.0, 120.0]",96.0,103.0,82.0,107.0,169.0,193.0,229.0,148.0
"[181.0, 122.0]",47.0,115.0,86.0,111.0,118.0,148.0,102.0,77.0
"[181.0, 122.0]",47.0,115.0,86.0,111.0,118.0,148.0,102.0,77.0
"[182.0, 124.0]",50.0,57.0,78.0,98.0,74.0,75.0,94.0,84.0
"[183.0, 125.0]",56.0,87.0,51.0,75.0,54.0,76.0,61.0,90.0
"[183.0, 125.0]",56.0,87.0,51.0,75.0,54.0,76.0,61.0,90.0
"[184.0, 127.0]",74.0,49.0,61.0,77.0,77.0,80.0,98.0,86.0
"[185.0, 128.0]",112.0,62.0,63.0,65.0,90.0,62.0,118.0,92.0
"[185.0, 129.0]",83.0,91.0,102.0,57.0,69.0,77.0,45.0,70.0
"[186.0, 129.0]",58.0,84.0,58.0,80.0,93.0,89.0,101.0,74.0
"[187.0, 131.0]",69.0,76.0,74.0,82.0,62.0,84.0,80.0,98.0
"[187.0, 132.0]",70.0,78.0,46.0,28.0,64.0,95.0,93.0,117.0
"[188.0, 133.0]",78.0,78.0,43.0,29.0,96.0,84.0,82.0,95.0
"[189.0, 134.0]",61.0,70.0,78.0,66.0,122.0,89.0,64.0,75.0
"[189.0, 135.0]",67.0,63.0,58.0,75.0,73.0,57.0,44.0,94.0
"[190.0, 136.0]",89.0,93.0,61.0,65.0,80.0,55.0,76.0,87.0
"[191.0, 137.0]",48.0,58.0,31.0,42.0,73.0,55.0,73.0,58.0
"[191.0, 138.0]",50.0,46.0,26.0,32.0,75.0,37.0,68.0,83.0
"[192.0, 139.0]",67.0,32.0,36.0,44.0,44.0,38.0,35.0,77.0
"[193.0, 140.0]",62.0,37.0,38.0,36.0,43.0,48.0,32.0,67.0
"[193.0, 141.0]",56.0,26.0,36.0,36.0,40.0,32.0,44.0,50.0
"[194.0, 142.0]",91.0,32.0,29.0,25.0,72.0,30.0,54.0,75.0
"[195.0, 142.0]",59.0,64.0,48.0,58.0,57.0,74.0,81.0,62.0
"[195.0, 144.0]",77.0,38.0,33.0,26.0,55.0,40.0,31.0,65.0
"[196.0, 144.0]",101.0,52.0,42.0,33.0,72.0,50.0,65.0,121.0
"[196.0, 146.0]",88.0,45.0,57.0,44.0,39.0,33.0,62.0,85.0
"[197.0, 147.0]",94.0,57.0,55.0,41.0,95.0,66.0,76.0,87.0
"[198.0, 148.0]",122.0,49.0,87.0,75.0,76.0,75.0,130.0,122.0
"[198.0, 149.0]",148.0,73.0,85.0,79.0,92.0,62.0,88.0,84.0
"[199.0, 150.0]",210.0,89.0,99.0,104.0,108.0,111.0,164.0,150.0
"[200.0, 151.0]",210.0,143.0,109.0,106.0,157.0,141.0,198.0,177.0
"[200.0, 152.0]",147.0,140.0,122.0,134.0,156.0,61.0,166.0,123.0
"[201.0, 153.0]",163.0,158.0,161.0,149.0,190.0,148.0,155.0,141.0
"[202.0, 154.0]",177.0,122.0,147.0,146.0,164.0,87.0,154.0,154.0
"[202.0, 154.0]",177.0,122.0,147.0,146.0,164.0,87.0,154.0,154.0
"[203.0, 155.0]",128.0,145.0,163.0,124.0,194.0,116.0,143.0,132.0
"[204.0, 157.0]",144.0,116.0,169.0,115.0,148.0,64.0,127.0,77.0
"[204.0, 157.0]",144.0,116.0,169.0,115.0,148.0,64.0,127.0,77.0
"[205.0, 159.0]",105.0,109.0,158.0,97.0,137.0,77.0,121.0,104.0
"[206.0, 159.0]",135.0,102.0,133.0,105.0,109.0,141.0,110.0,132.0
"[206.0, 160.0]",146.0,97.0,164.0,80.0,138.0,84.0,177.0,140.0
"[207.0, 162.0]",160.0,79.0,159.0,100.0,163.0,170.0,143.0,167.0
"[208.0, 163.0]",180.0,117.0,172.0,158.0,169.0,203.0,162.0,208.0
"[208.0, 164.0]",192.0,138.0,184.0,151.0,156.0,210.0,225.0,200.0
"[209.0, 165.0]",172.0,141.0,179.0,252.0,201.0,227.0,214.0,202.0
"[210.0, 166.0]",159.0,193.0,207.0,231.0,204.0,234.0,203.0,223.0
"[210.0, 167.0]",156.0,175.0,219.0,190.0,250.0,232.0,218.0,210.0
"[211.0, 167.0]",137.0,217.0,151.0,176.0,198.0,196.0,204.0,217.0
"[212.0, 169.0]",109.0,99.0,172.0,98.0,167.0,171.0,173.0,221.0
"[212.0, 170.0]",93.0,83.0,86.0,98.0,155.0,204.0,170.0,180.0
"[213.0, 171.0]",69.0,70.0,65.0,74.0,101.0,137.0,153.0,186.0
"[214.0, 172.0]",106.0,68.0,70.0,52.0,73.0,201.0,127.0,161.0
"[214.0, 173.0]",69.0,71.0,46.0,60.0,49.0,132.0,152.0,137.0
"[215.0, 173.0]",109.0,53.0,64.0,55.0,67.0,142.0,157.0,135.0
"[216.0, 175.0]",94.0,47.0,61.0,38.0,60.0,177.0,85.0,62.0
"[216.0, 176.0]",65.0,47.0,49.0,29.0,33.0,100.0,60.0,70.0
"[217.0, 176.0]",130.0,36.0,60.0,41.0,36.0,157.0,90.0,52.0
"[217.0, 177.0]",78.0,33.0,41.0,31.0,39.0,85.0,95.0,47.0
"[218.0, 179.0]",39.0,47.0,55.0,36.0,28.0,57.0,81.0,98.0
"[219.0, 180.0]",49.0,26.0,41.0,44.0,44.0,79.0,78.0,119.0
"[219.0, 180.0]",49.0,26.0,41.0,44.0,44.0,79.0,78.0,119.0
"[220.0, 182.0]",35.0,26.0,56.0,72.0,50.0,99.0,129.0,146.0
"[220.0, 183.0]",31.0,22.0,91.0,70.0,36.0,119.0,142.0,186.0
"[221.0, 183.0]",46.0,27.0,67.0,61.0,85.0,128.0,151.0,138.0
"[221.0, 185.0]",30.0,17.0,87.0,68.0,49.0,93.0,123.0,91.0
"[222.0, 185.0]",31.0,25.0,98.0,86.0,93.0,113.0,101.0,94.0
"[223.0, 187.0]",33.0,25.0,109.0,136.0,63.0,211.0,163.0,144.0
"[223.0, 188.0]",28.0,22.0,119.0,130.0,79.0,253.0,195.0,234.0
"[224.0, 189.0]",22.0,22.0,211.0,213.0,85.0,255.0,246.0,250.0
"[224.0, 189.0]",22.0,22.0,211.0,213.0,85.0,255.0,246.0,250.0
"[225.0, 191.0]",22.0,16.0,255.0,255.0,75.0,255.0,255.0,255.0
"[225.0, 192.0]",18.0,17.0,248.0,255.0,144.0,255.0,255.0,255.0
"[226.0, 193.0]",16.0,12.0,255.0,255.0,85.0,255.0,255.0,255.0
"[226.0, 193.0]",16.0,12.0,255.0,255.0,85.0,255.0,255.0,255.0
"[227.0, 195.0]",21.0,19.0,233.0,255.0,68.0,255.0,255.0,189.0
"[227.0, 195.0]",21.0,19.0,233.0,255.0,68.0,255.0,255.0,189.0
"[227.0, 197.0]",11.0,15.0,140.0,194.0,69.0,193.0,178.0,157.0
"[228.0, 198.0]",19.0,7.0,122.0,128.0,28.0,125.0,140.0,101.0
"[228.0, 198.0]",19.0,7.0,122.0,128.0,28.0,125.0,140.0,101.0
"[229.0, 199.0]",20.0,18.0,78.0,117.0,27.0,122.0,85.0,58.0
"[229.0, 201.0]",13.0,21.0,32.0,43.0,26.0,52.0,42.0,54.0
"[229.0, 202.0]",13.0,13.0,42.0,16.0,16.0,46.0,98.0,36.0
"[230.0, 203.0]",19.0,12.0,15.0,20.0,30.0,55.0,26.0,61.0
"[230.0, 204.0]",16.0,7.0,19.0,16.0,26.0,65.0,27.0,53.0
"[230.0, 205.0]",18.0,18.0,19.0,18.0,21.0,48.0,36.0,41.0
"[231.0, 206.0]",20.0,12.0,15.0,21.0,12.0,47.0,18.0,20.0
"[231.0, 206.0]",20.0,12.0,15.0,21.0,12.0,47.0,18.0,20.0
"[231.0, 208.0]",15.0,23.0,16.0,12.0,24.0,33.0,20.0,12.0
"[232.0, 209.0]",10.0,13.0,10.0,12.0,14.0,26.0,23.0,21.0
"[232.0, 210.0]",13.0,18.0,11.0,14.0,16.0,26.0,23.0,15.0
"[232.0, 211.0]",24.0,13.0,13.0,20.0,23.0,15.0,13.0,16.0
"[232.0, 211.0]",24.0,13.0,13.0,20.0,23.0,15.0,13.0,16.0
"[233.0, 213.0]",19.0,25.0,20.0,17.0,15.0,26.0,19.0,21.0
