,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[100 382],[100 346],[0.8232840000000001],1.524535287897124,0,56.51322751322751,69.46031746031746,58.81481481481482,69.55555555555556,67.04232804232804,93.83597883597884,101.95767195767196,89.21693121693121,12,8,9,10,9,10,13,12,183,205,207,237,233,255,245,253,10681,13128,11116,13146,12671,17735,19270,16862,46.526436000000004,57.185568,48.421296000000005,57.26397600000001,55.19487600000001,77.25366000000001,83.94012000000001,73.450872,7.857142857142857,7.264550264550264,7.476190476190476,8.095238095238095,6.862433862433862,6.35978835978836,6.698412698412699,7.576719576719577
Spine: 1,0,[116 412],[116 438],[0.5052960000000001],2.455070575794248,0,139.3706896551724,107.33620689655173,113.99137931034483,202.04310344827587,160.17241379310346,133.23275862068965,102.64655172413794,110.77586206896552,34,19,18,53,37,24,18,22,252,237,255,255,255,253,207,225,16167,12451,13223,23437,18580,15455,11907,12850,70.42345200000001,54.23655600000001,57.599388000000005,102.09157200000001,80.93448000000001,67.32198000000001,51.86689200000001,55.97460000000001,9.310344827586206,8.887931034482758,8.491379310344827,8.689655172413794,8.094827586206897,7.956896551724138,8.0,7.9655172413793105
Spine: 2,0,[170 398],[172 415],[0.592416],5.983718451556401,0,133.22058823529412,124.4779411764706,113.78676470588235,88.66176470588235,91.875,103.38235294117646,121.50735294117646,154.15441176470588,41,27,28,14,20,24,30,52,255,243,231,242,205,212,237,255,18118,16929,15475,12058,12495,14060,16525,20965,78.922008,73.74272400000001,67.40910000000001,52.524648000000006,54.42822,61.245360000000005,71.98290000000001,91.32354000000001,13.338235294117647,13.507352941176471,14.948529411764707,12.477941176470589,13.176470588235293,13.176470588235293,15.926470588235293,15.75
Spine: 3,0,[184 366],[177 323],[0.6577560000000001],7.2141875860169495,0,55.682119205298015,45.64900662251656,52.81456953642384,125.11920529801324,106.23178807947019,92.34437086092716,84.98675496688742,61.10596026490066,9,11,9,20,13,16,10,8,154,140,135,255,230,226,249,149,8408,6893,7975,18893,16041,13944,12833,9227,36.625248000000006,30.025908000000005,34.7391,82.297908,69.87459600000001,60.740064000000004,55.90054800000001,40.192812,5.304635761589404,5.271523178807947,5.039735099337748,6.139072847682119,5.317880794701987,5.602649006622516,5.562913907284768,5.185430463576159
Spine: 4,0,[208 399],[211 428],[0.627264],8.505180788412465,0,135.47222222222223,106.28472222222223,95.4375,108.33333333333333,90.36111111111111,87.44444444444444,113.49305555555556,66.84027777777777,40,17,15,15,19,13,21,15,247,240,204,252,221,200,244,205,19508,15305,13743,15600,13012,12592,16343,9625,84.976848,66.66858,59.86450800000001,67.95360000000001,56.68027200000001,54.85075200000001,71.19010800000001,41.926500000000004,7.965277777777778,8.04861111111111,7.611111111111111,8.375,8.569444444444445,8.583333333333334,8.402777777777779,8.430555555555555
Spine: 5,0,[284 386],[276 428],[1.6160760000000003],14.16189122839108,0,54.517520215633425,51.3800539083558,85.30727762803234,171.3234501347709,65.43126684636118,56.24797843665768,78.3099730458221,57.129380053908356,6,7,8,29,6,7,8,8,244,215,255,255,238,235,255,249,20226,19062,31649,63561,24275,20868,29053,21195,88.10445600000001,83.03407200000001,137.863044,276.87171600000005,105.74190000000002,90.901008,126.55486800000001,92.32542000000001,8.347708894878707,7.827493261455525,8.671159029649596,8.74932614555256,9.048517520215633,8.873315363881401,9.22911051212938,8.943396226415095
Spine: 6,0,[338 386],[342 410],[0.9234720000000001],17.417586505055525,0,131.06603773584905,138.21698113207546,124.67924528301887,122.4622641509434,117.5377358490566,118.27358490566037,132.14150943396226,117.23584905660377,12,33,14,23,22,35,24,22,255,255,255,255,255,247,248,238,27786,29302,26432,25962,24918,25074,28014,24854,121.03581600000001,127.63951200000001,115.13779200000002,113.09047200000002,108.54280800000001,109.222344,122.02898400000001,108.264024,9.36320754716981,8.816037735849056,9.495283018867925,9.38679245283019,10.20754716981132,10.462264150943396,10.56132075471698,9.75
