,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[218 260],[218 288],[0.7753680000000001],1.056,0,76.76404494382022,83.86516853932584,60.2752808988764,86.23033707865169,91.48876404494382,92.92696629213484,70.19101123595506,98.56179775280899,11,8,3,11,8,8,9,10,182,207,221,242,255,250,250,229,13664,14928,10729,15349,16285,16541,12494,17544,59.52038400000001,65.026368,46.735524000000005,66.86024400000001,70.93746,72.05259600000001,54.42386400000001,76.421664,6.533707865168539,7.196629213483146,7.056179775280899,8.674157303370787,7.99438202247191,8.067415730337078,7.443820224719101,8.797752808988765
Spine: 1,0,[256 259],[256 285],[1.3068000000000002],3.564,0,47.96666666666667,46.65,46.623333333333335,77.72333333333333,58.61,91.34333333333333,90.86333333333333,94.99333333333334,4,4,4,10,4,10,9,8,155,158,182,204,209,235,241,255,14390,13995,13987,23317,17583,27403,27259,28498,62.682840000000006,60.96222000000001,60.927372000000005,101.568852,76.591548,119.36746800000002,118.74020400000002,124.13728800000001,5.796666666666667,8.056666666666667,7.56,9.606666666666667,8.036666666666667,8.35,7.74,8.47
Spine: 2,0,[294 271],[287 315],[1.00188],6.312181163217454,0,29.691304347826087,33.678260869565214,30.282608695652176,89.80869565217391,68.21739130434783,44.59130434782609,43.0,38.917391304347824,2,6,7,12,7,6,3,6,105,138,103,210,185,152,168,120,6829,7746,6965,20656,15690,10256,9890,8951,29.747124000000003,33.741576,30.339540000000003,89.97753600000001,68.34564,44.675136,43.08084,38.990556000000005,10.856521739130434,9.765217391304347,9.217391304347826,11.130434782608695,11.352173913043478,12.347826086956522,12.02608695652174,11.821739130434782
Spine: 3,0,[305 240],[307 220],[0.8712000000000001],6.718630016728235,0,65.475,57.345,58.245,129.01,96.775,83.58,85.72,79.95,9,9,8,22,12,11,13,11,185,234,195,254,240,215,199,226,13095,11469,11649,25802,19355,16716,17144,15990,57.04182000000001,49.95896400000001,50.743044000000005,112.39351200000002,84.31038000000001,72.814896,74.679264,69.65244000000001,8.065,8.235,8.77,12.27,9.995,8.79,9.555,10.55
Spine: 4,0,[313 267],[309 299],[0.8232840000000001],7.481774814680842,0,37.597883597883595,37.51851851851852,40.301587301587304,76.54497354497354,45.81481481481482,55.03703703703704,58.4973544973545,55.0,6,5,4,17,6,8,4,5,161,119,124,193,163,152,180,162,7106,7091,7617,14467,8659,10402,11056,10395,30.953736000000003,30.888396000000004,33.179652000000004,63.018252000000004,37.718604000000006,45.31111200000001,48.15993600000001,45.280620000000006,9.079365079365079,8.386243386243386,10.031746031746032,11.121693121693122,12.354497354497354,11.883597883597883,12.116402116402117,11.248677248677248
Spine: 5,0,[369 252],[382.4043998  177.13035664],[0.8145720000000001],11.079013731604094,0,78.27272727272727,83.48663101604278,68.33155080213903,114.35828877005348,130.6524064171123,114.14973262032086,109.10160427807487,97.91978609625669,12,14,11,18,24,17,21,20,247,248,210,255,241,242,231,217,14637,15612,12778,21385,24432,21346,20402,18311,63.75877200000001,68.00587200000001,55.660968000000004,93.15306000000001,106.42579200000002,92.98317600000001,88.87111200000001,79.76271600000001,5.262295081967213,5.33879781420765,5.584699453551913,5.546448087431694,5.26775956284153,5.26775956284153,5.174863387978142,4.355191256830601
Spine: 6,0,[396 272],[396 308],[0.8015040000000001],13.110569058908759,0,35.108695652173914,30.5,48.19021739130435,54.30978260869565,50.625,49.244565217391305,53.32608695652174,40.69021739130435,1,5,9,9,5,9,10,8,117,105,127,142,125,150,150,123,6460,5612,8867,9993,9315,9061,9812,7487,28.139760000000003,24.445872,38.624652000000005,43.52950800000001,40.57614,39.469716000000005,42.741072,32.613372000000005,8.994565217391305,9.08695652173913,8.5,8.733695652173912,8.597826086956522,9.733695652173912,8.907608695652174,9.375
