,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[413 245],[406 280],[0.7884360000000001],26.56154890032979,53.14364640883978,47.13812154696133,53.52486187845304,61.29281767955801,62.79558011049724,73.69060773480663,45.972375690607734,40.86187845303867,9,8,11,11,10,10,8,6,127,132,148,193,226,208,155,137,9619,8532,9688,11094,11366,13338,8321,7396,7583.965884000001,6726.935952000001,7638.3679680000005,8746.908984000002,8961.363576000002,10516.159368,6560.575956000001,5831.272656000001,5.248618784530387,5.370165745856354,5.513812154696133,5.56353591160221,5.497237569060774,5.348066298342541,5.883977900552487,5.69060773480663
Spine: 1,0,[283 220],[283 248],[0.7623000000000001],17.237465044274614,64.80571428571429,73.46857142857142,56.01714285714286,69.66857142857143,55.497142857142855,55.965714285714284,48.09142857142857,40.09142857142857,12,17,10,17,11,14,9,8,172,176,141,172,171,173,182,110,11341,12857,9803,12192,9712,9794,8416,7016,8645.2443,9800.8911,7472.826900000001,9293.9616,7403.457600000001,7465.966200000001,6415.5168,5348.296800000001,6.52,6.731428571428571,6.8914285714285715,6.622857142857143,6.914285714285715,6.765714285714286,6.748571428571428,6.588571428571429
Spine: 2,0,[228 220],[228 262],[1.032372],13.565692408075599,48.666666666666664,46.029535864978904,56.18987341772152,61.35443037974684,61.75949367088607,64.72573839662448,51.620253164556964,68.52742616033755,9,8,9,10,8,7,8,7,175,193,175,198,189,215,189,211,11534,10909,13317,14541,14637,15340,12234,16241,11907.378648000002,11262.146148000002,13748.097924000002,15011.721252000001,15110.828964000002,15836.586480000002,12630.039048,16766.753652000003,5.991561181434599,6.147679324894515,6.143459915611814,6.329113924050633,6.489451476793249,6.544303797468355,6.776371308016878,6.729957805907173
Spine: 3,0,[334 183],[339 155],[0.7710120000000001],20.7498265240507,62.706214689265536,66.32768361581921,60.23728813559322,71.26553672316385,76.88135593220339,80.2768361581921,65.48022598870057,63.54237288135593,11,7,9,9,9,8,9,11,176,163,192,224,219,208,149,157,11099,11740,10662,12614,13608,14209,11590,11247,8557.462188000001,9051.680880000002,8220.529944000002,9725.545368000001,10491.931296,10955.309508000002,8936.02908,8671.571964,6.548022598870056,6.440677966101695,6.0508474576271185,6.581920903954802,6.141242937853107,6.5423728813559325,6.175141242937853,6.824858757062147
Spine: 4,0,[374 224],[361 244],[0.47916000000000003],23.989880612702862,60.82727272727273,86.94545454545455,79.43636363636364,99.42727272727272,97.9090909090909,128.63636363636363,101.75454545454545,66.5909090909091,11,15,16,15,25,40,16,8,161,173,199,228,189,233,218,199,6691,9564,8738,10937,10770,14150,11193,7325,3206.05956,4582.686240000001,4186.90008,5240.5729200000005,5160.5532,6780.1140000000005,5363.237880000001,3509.847,6.872727272727273,6.954545454545454,6.9818181818181815,6.963636363636364,7.118181818181818,7.454545454545454,7.327272727272727,6.890909090909091
Spine: 5,0,[163 200],[159 181],[0.5575680000000001],9.303826271675513,60.1328125,70.3203125,69.515625,69.2265625,74.140625,64.984375,79.515625,70.2890625,12,14,12,15,12,13,13,12,141,159,179,172,195,165,167,166,7697,9001,8898,8861,9490,8318,10178,8997,4291.600896000001,5018.669568,4961.2400640000005,4940.6100480000005,5291.320320000001,4637.850624000001,5674.927104,5016.4392960000005,11.5078125,12.1484375,11.6875,11.4609375,10.25,10.75,11.0078125,10.984375
Spine: 6,0,[140 179],[102 116],[0.736164],8.917501943630828,41.248520710059175,47.49112426035503,49.917159763313606,93.17159763313609,46.80473372781065,50.03550295857988,51.67455621301775,44.17751479289941,8,8,9,15,9,6,9,8,121,148,150,220,147,145,159,158,6971,8026,8436,15746,7910,8456,8733,7466,5131.799244000001,5908.4522640000005,6210.279504000001,11591.638344,5823.057240000001,6225.002784000001,6428.920212000001,5496.200424000001,6.0828402366863905,6.550295857988166,6.349112426035503,6.366863905325443,6.011834319526627,5.946745562130178,5.85207100591716,6.1301775147929
Spine: 7,0,[ 51 219],[ 62.67691184 171.6156649 ],[0.8537760000000001],1.7447508190859506,71.91326530612245,56.326530612244895,100.37244897959184,90.97448979591837,81.78061224489795,87.94897959183673,106.43877551020408,61.08163265306123,9,8,20,15,10,14,12,8,191,144,229,230,225,221,232,144,14095,11040,19673,17831,16029,17238,20862,11972,12033.972720000002,9425.68704,16796.335248000003,15223.679856000002,13685.175504,14717.390688000001,17811.474912,10221.406272000002,6.066666666666666,5.846153846153846,6.394871794871795,6.605128205128205,6.6461538461538465,6.774358974358974,6.5948717948717945,6.425641025641026
Spine: 8,0,[102 252],[ 98.54536635 272.98303633],[0.7753680000000001],4.872740275059706,56.09550561797753,45.96629213483146,60.241573033707866,50.747191011235955,49.69662921348315,44.735955056179776,45.97752808988764,48.449438202247194,11,8,10,10,8,7,9,9,195,177,190,168,197,134,148,165,9985,8182,10723,9033,8846,7963,8184,8624,7742.049480000001,6344.060976000001,8314.271064,7003.899144000001,6858.905328000001,6174.255384000001,6345.611712000001,6686.773632,7.112359550561798,7.292134831460674,7.724719101123595,7.421348314606742,7.51123595505618,7.426966292134831,8.07865168539326,7.735955056179775
Spine: 9,0,[225 162],[225  88],[0.9801000000000001],13.367692408075598,32.16888888888889,37.13777777777778,33.333333333333336,30.924444444444443,26.613333333333333,27.84,28.031111111111112,30.30666666666667,6,5,6,4,5,4,6,7,105,128,103,98,89,89,78,73,7238,8356,7500,6958,5988,6264,6307,6819,7093.9638,8189.715600000001,7350.750000000001,6819.535800000001,5868.8388,6139.3464,6181.4907,6683.3019,4.568888888888889,4.76,4.635555555555555,4.648888888888889,4.8133333333333335,5.075555555555556,5.742222222222222,5.5777777777777775
