,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[102 269],[318 216],[0.69696],1.8352244529042268,45.23125,34.95625,48.50625,51.5,42.05625,42.36875,35.5375,39.325,8,7,10,10,7,7,5,5,136,81,132,137,110,100,118,109,7237,5593,7761,8240,6729,6779,5686,6292,5043.899520000001,3898.0972800000004,5409.10656,5742.950400000001,4689.8438400000005,4724.69184,3962.9145600000006,4385.272320000001,106.36875,102.5125,101.9125,100.71875,97.91875,102.7875,105.56875,98.01875
Spine: 1,0,[109 238],[337 226],[0.6751800000000001],2.874519880807667,37.92903225806452,40.406451612903226,43.43225806451613,38.380645161290325,41.91612903225806,45.05161290322581,41.52258064516129,39.47096774193548,4,8,7,8,8,7,8,8,135,110,132,111,143,141,124,106,5879,6263,6732,5949,6497,6983,6436,6118,3969.3832200000006,4228.652340000001,4545.3117600000005,4016.6458200000006,4386.64446,4714.781940000001,4345.45848,4130.7512400000005,10.135483870967741,10.580645161290322,12.574193548387097,11.8,16.329032258064515,14.935483870967742,18.73548387096774,14.206451612903226
Spine: 2,0,[156 241],[372 225],[0.627264],5.745181189357969,48.020833333333336,53.395833333333336,59.604166666666664,68.38194444444444,57.625,77.04861111111111,89.20833333333333,82.27777777777777,7,6,7,7,7,9,15,9,151,185,178,196,190,230,251,232,6915,7689,8583,9847,8298,11095,12846,11848,4337.53056,4823.032896000001,5383.806912000001,6176.668608000001,5205.036672,6959.49408,8057.833344000001,7431.823872000001,6.798611111111111,7.729166666666667,10.395833333333334,8.76388888888889,10.027777777777779,19.6875,13.26388888888889,11.79861111111111
Spine: 3,0,[223 231],[393 206],[0.683892],10.203940065892738,89.94904458598727,79.89171974522293,89.89808917197452,89.4140127388535,85.89808917197452,99.59235668789809,95.73248407643312,103.63694267515923,19,12,15,11,16,20,16,26,200,191,210,193,216,248,210,246,14122,12543,14114,14038,13486,15636,15030,16271,9657.922824000001,8578.057356000001,9652.451688000001,9600.475896000002,9222.967512000001,10693.335312000001,10278.896760000001,11127.606732000002,5.280254777070064,5.643312101910828,5.044585987261146,5.420382165605096,6.063694267515924,6.592356687898089,6.1210191082802545,6.382165605095541
Spine: 4,0,[237 251],[379 306],[0.5793480000000001],11.602163885146956,34.67669172932331,36.278195488721806,31.097744360902254,32.8421052631579,39.18045112781955,26.458646616541355,29.69924812030075,23.30827067669173,6,6,5,6,7,6,5,6,112,118,94,110,116,91,85,74,4612,4825,4136,4368,5211,3519,3950,3100,2671.9529760000005,2795.3541000000005,2396.183328,2530.5920640000004,3018.9824280000003,2038.7256120000002,2288.4246000000003,1795.9788,9.270676691729323,10.0,9.992481203007518,9.293233082706767,9.917293233082706,9.503759398496241,9.353383458646617,9.172932330827068
Spine: 5,0,[262 241],[431.66045351 297.10167287],[0.736164],12.857908096808568,35.81656804733728,38.57396449704142,39.84615384615385,50.0887573964497,42.07692307692308,51.414201183431956,51.562130177514796,37.84023668639053,4,8,7,6,7,8,6,7,91,127,161,169,165,174,161,145,6053,6519,6734,8465,7111,8689,8714,6395,4456.0006920000005,4799.053116000001,4957.328376,6231.62826,5234.862204000001,6396.528996000001,6414.933096000001,4707.76878,25.798816568047336,27.0,25.467455621301774,36.414201183431956,33.62130177514793,31.37869822485207,32.86390532544379,18.940828402366865
Spine: 6,0,[282 262],[443 192],[0.6926040000000001],14.368920044754258,44.0377358490566,49.55345911949686,48.666666666666664,46.276729559748425,50.729559748427675,54.320754716981135,54.16352201257862,46.943396226415096,8,11,9,9,8,6,7,7,121,144,110,113,119,168,150,155,7002,7879,7738,7358,8066,8637,8612,7464,4849.613208000001,5457.026916000001,5359.3697520000005,5096.180232000001,5586.543864,5982.020748000001,5964.705648000001,5169.596256000001,8.119496855345911,7.421383647798742,6.9748427672955975,8.20125786163522,7.163522012578617,7.710691823899371,7.735849056603773,7.584905660377358
