,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[82 44],[ 84.37091711 133.98402659],[0.42688800000000005],0.924,0,72.18367346938776,103.15306122448979,107.43877551020408,103.14285714285714,103.55102040816327,107.09183673469387,109.8061224489796,111.22448979591837,19,19,12,20,18,27,19,23,228,238,245,230,237,216,233,231,7074,10109,10529,10108,10148,10495,10761,10900,30.814344000000002,44.03480400000001,45.864324,44.03044800000001,44.204688000000004,45.71622000000001,46.874916000000006,47.4804,6.255102040816326,5.5,5.591836734693878,6.520408163265306,6.23469387755102,6.489795918367347,6.3061224489795915,6.040816326530612
Spine: 1,0,[114  64],[112.11704067 130.02029465],[0.753588],3.4010812511673847,0,71.98843930635839,68.28323699421965,71.61271676300578,78.61271676300578,68.44508670520231,64.25433526011561,92.6242774566474,106.69942196531792,14,11,10,9,13,10,12,12,188,192,223,231,192,190,221,244,12454,11813,12389,13600,11841,11116,16024,18459,54.249624000000004,51.45742800000001,53.96648400000001,59.241600000000005,51.579396,48.421296000000005,69.800544,80.40740400000001,6.345029239766082,6.7368421052631575,6.87719298245614,7.146198830409356,7.204678362573099,7.292397660818714,7.444444444444445,7.491228070175438
Spine: 2,0,[161  77],[201.69738247  57.88037338],[0.7579440000000001],5.606756092744498,0,98.42528735632185,98.6264367816092,98.7183908045977,147.08045977011494,117.33333333333333,110.03448275862068,83.70689655172414,113.46551724137932,17,13,12,31,24,12,11,15,238,232,251,255,252,236,253,255,17126,17161,17177,25592,20416,19146,14565,19743,74.60085600000001,74.75331600000001,74.823012,111.47875200000001,88.93209600000002,83.39997600000001,63.44514000000001,86.00050800000001,6.044692737430168,6.212290502793296,6.636871508379889,6.4804469273743015,6.173184357541899,6.145251396648045,6.23463687150838,6.910614525139665
Spine: 3,0,[231 172],[236.57822352 252.89598473],[0.82764],12.771155169596138,0,72.82105263157895,110.72631578947369,96.27894736842106,138.4578947368421,98.34736842105264,113.05263157894737,124.16315789473684,138.77894736842106,14,16,15,33,18,17,19,23,177,230,218,243,195,251,255,255,13836,21038,18293,26307,18686,21480,23591,26368,60.269616000000006,91.64152800000001,79.68430800000002,114.59329200000002,81.39621600000001,93.56688000000001,102.76239600000001,114.85900800000002,6.053191489361702,6.308510638297872,6.579787234042553,6.042553191489362,6.622340425531915,6.425531914893617,6.340425531914893,6.73404255319149
Spine: 4,0,[250 185],[220.72329577 243.38302807],[0.8668440000000001],14.947729596339254,0,83.55778894472361,67.75879396984925,74.01507537688443,156.03015075376885,124.93969849246231,122.01507537688443,116.95979899497488,108.97989949748744,13,10,16,21,18,24,21,16,201,206,183,255,244,255,255,251,16628,13484,14729,31050,24863,24281,23275,21687,72.43156800000001,58.736304000000004,64.159524,135.2538,108.30322800000002,105.76803600000001,101.3859,94.46857200000001,8.207920792079207,9.495049504950495,9.009900990099009,9.826732673267326,9.534653465346535,9.564356435643564,8.742574257425742,10.321782178217822
Spine: 5,0,[292 181],[298.41244175 237.83380336],[0.9060480000000001],16.546574241568834,0,96.6923076923077,83.25961538461539,75.14423076923077,196.78846153846155,102.91826923076923,104.38461538461539,99.28846153846153,108.82692307692308,21,17,14,54,24,18,17,14,249,253,210,255,250,240,239,255,20112,17318,15630,40932,21407,21712,20652,22636,87.60787200000001,75.43720800000001,68.08428,178.29979200000002,93.24889200000001,94.57747200000001,89.96011200000001,98.602416,6.854368932038835,6.87378640776699,6.771844660194175,6.990291262135922,6.864077669902913,7.29126213592233,7.067961165048544,7.504854368932039
Spine: 6,0,[361 251],[324 306],[1.245816],23.5922524300427,0,33.75174825174825,37.49650349650349,29.61888111888112,84.18181818181819,54.48951048951049,92.02097902097903,89.31118881118881,64.87062937062937,1,1,1,6,1,9,12,6,186,158,139,255,221,220,194,218,9653,10724,8471,24076,15584,26318,25543,18553,42.04846800000001,46.713744000000005,36.89967600000001,104.87505600000001,67.883904,114.641208,111.26530800000002,80.81686800000001,4.583916083916084,4.611888111888112,4.269230769230769,4.118881118881119,4.4125874125874125,4.356643356643357,4.1328671328671325,4.6328671328671325
