,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 57 197],[ 58.56506109 163.97102846],[1.6239207650659715],1.5827178060364513,50.76470588235294,59.51336898395722,50.07754010695187,45.29144385026738,52.35294117647059,38.67112299465241,36.18449197860963,28.684491978609625,9,10,6,7,7,4,1,1,145,175,133,110,132,101,168,137,18986,22258,18729,16939,19580,14463,13533,10728,30831.759645542534,36145.22838883839,30414.41200892058,27507.59383945249,31796.368579991722,23486.766025149143,21976.51971363779,17421.421967627743,5.05614973262032,5.74331550802139,4.7994652406417115,4.302139037433155,5.016042780748663,5.745989304812834,5.497326203208556,4.053475935828877
Spine: 1,0,[157 182],[153 139],[2.3273302943191463],8.415063702412535,34.10634328358209,34.30037313432836,34.23694029850746,51.15298507462686,39.098880597014926,40.23320895522388,40.36380597014925,41.89179104477612,7,4,6,7,7,6,8,8,144,132,120,180,109,133,107,122,18281,18385,18351,27418,20957,21565,21635,22454,42545.92511044831,42787.9674610575,42708.83823105065,63810.74200964235,48773.860978046345,50188.87779699239,50351.79091759473,52257.874428642106,4.897388059701493,4.542910447761194,4.5690298507462686,4.4533582089552235,4.352611940298507,4.652985074626866,4.2835820895522385,4.294776119402985
Spine: 2,0,[266 243],[267 273],[1.7368136524769748],15.713024926037814,74.635,57.2625,55.5975,55.655,47.66,38.7675,52.0375,58.395,8,7,6,6,7,4,5,6,208,177,182,196,176,137,194,185,29854,22905,22239,22262,19064,15507,20815,23358,51850.834781047604,39781.71670998511,38624.998817435444,38664.94553144241,33110.615470821045,26932.769308960447,36151.77617630823,40568.49329455718,6.4225,5.93,5.92,5.35,5.2525,5.8075,5.8975,6.3025
Spine: 3,0,[642 235],[639 280],[1.1549810788971882],40.91414929336932,36.3421052631579,36.642857142857146,32.597744360902254,62.1578947368421,56.99624060150376,50.642857142857146,68.7218045112782,59.56390977443609,6,5,7,11,9,9,12,20,124,107,124,185,149,162,171,143,9667,9747,8671,16534,15161,13471,18280,15844,11165.202089699118,11257.600576010893,10014.84093511752,19096.45715848611,17510.66813716027,15558.750113824022,21113.0541222406,18299.52021404705,10.462406015037594,10.759398496240602,11.176691729323307,11.289473684210526,15.921052631578947,15.958646616541353,19.93233082706767,29.17669172932331
Spine: 4,0,[737 238],[733 273],[2.344698430843916],47.22214602095441,33.66111111111111,35.63148148148148,36.52407407407407,38.9537037037037,37.32592592592592,35.18703703703704,40.50925925925926,51.65555555555556,7,8,6,4,4,7,7,6,178,151,147,155,151,172,155,206,18177,19241,19723,21035,20156,19001,21875,27894,42619.58337744986,45114.34250786779,46244.48715153455,49320.73149280177,47259.74157208997,44551.61488446525,51290.278174710664,65403.01802996019,7.075925925925926,7.04074074074074,6.32962962962963,6.464814814814815,5.972222222222222,7.788888888888889,7.683333333333334,7.727777777777778
Spine: 5,0,[813 240],[823.82461436 269.80479647],[0.933537338206374],52.25362666682969,37.437209302325584,34.906976744186046,36.41860465116279,44.367441860465114,33.367441860465114,38.70232558139535,35.13488372093023,44.669767441860465,14,15,16,19,13,16,12,17,106,80,87,82,94,104,67,134,8049,7505,7830,9539,7174,8321,7554,9604,7514.042035223104,7006.197723238836,7309.597358155908,8905.012669150601,6697.196864292527,7767.964191215237,7051.941052810948,8965.692596134015,12.518691588785046,14.630841121495328,18.97196261682243,15.780373831775702,14.976635514018692,18.523364485981308,15.55607476635514,14.392523364485982
Spine: 6,0,[883 276],[888 368],[4.359402267717207],56.60738769260848,27.22410358565737,26.99003984063745,29.790836653386453,30.438247011952193,27.23605577689243,28.508964143426294,31.7699203187251,38.24800796812749,2,4,3,4,0,2,2,5,119,98,97,99,108,100,112,111,27333,27098,29910,30560,27345,28623,31897,38401,119155.54218351441,118131.08265060086,130389.72182742166,133223.33330143784,119207.85501072701,124779.1711088696,139051.85413337575,167405.40648260847,2.75996015936255,2.395418326693227,2.444223107569721,2.196215139442231,2.102589641434263,2.735059760956175,2.506972111553785,2.510956175298805
