,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[986 232],[994 203],[0.9539640000000001],64.26752286165606,78.36986301369863,66.71689497716895,38.94063926940639,19.050228310502284,20.383561643835616,22.210045662100455,19.67579908675799,22.50228310502283,12,4,0,2,1,1,1,0,197,221,182,132,117,123,94,126,17163,14611,8528,4172,4464,4864,4309,4928,16372.884132000001,13938.368004000002,8135.404992000001,3979.9378080000006,4258.495296,4640.080896,4110.630876,4701.134592,4.525114155251141,4.662100456621005,3.5205479452054793,4.2785388127853885,3.374429223744292,4.260273972602739,3.2557077625570776,3.5159817351598175
Spine: 1,0,[896 213],[894 182],[0.901692],58.56769720637929,88.23671497584542,89.23671497584542,42.111111111111114,36.628019323671495,44.410628019323674,35.772946859903385,34.30434782608695,34.405797101449274,21,8,2,3,1,2,0,0,217,231,214,181,178,180,166,164,18265,18472,8717,7582,9193,7405,7101,7122,16469.404380000004,16656.054624,7860.049164000001,6836.628744000001,8289.254556000002,6677.029260000001,6402.914892000001,6421.850424000001,4.004830917874396,4.7729468599033815,3.888888888888889,4.729468599033816,4.285024154589372,4.603864734299517,3.536231884057971,3.6231884057971016
Spine: 2,0,[817 255],[823 279],[3.1145400000000003],53.95031032831226,29.173426573426575,49.51048951048951,59.51748251748252,57.24195804195804,54.183216783216785,57.25174825174825,52.27272727272727,55.773426573426576,2,3,6,8,8,9,7,8,135,168,153,131,139,159,133,141,20859,35400,42555,40928,38741,40935,37375,39878,64966.189860000006,110254.71600000001,132539.24970000001,127471.89312000001,120660.39414000002,127493.69490000002,116405.93250000001,124201.62612000002,6.160839160839161,7.4125874125874125,8.099300699300699,10.079720279720279,10.41958041958042,11.033566433566433,10.137062937062938,9.311888111888113
Spine: 3,0,[675 236],[667 263],[2.6005320000000003],43.77046814488906,48.40033500837521,64.27805695142379,91.22613065326634,121.79396984924622,110.78726968174205,103.5929648241206,91.18257956448912,89.48911222780569,7,9,11,22,16,16,12,9,215,238,255,247,241,255,239,249,28895,38374,54462,72711,66140,61845,54436,53425,75142.37214,99792.814968,141630.173784,189087.28225200003,171999.18648000003,160829.90154000002,141562.559952,138933.42210000003,8.171140939597315,8.226510067114093,9.50503355704698,13.555369127516778,10.991610738255034,10.493288590604028,11.354026845637584,10.830536912751677
Spine: 4,0,[609 194],[614 166],[0.8363520000000001],38.888271956478604,90.41145833333333,68.88020833333333,34.828125,35.270833333333336,20.78125,17.270833333333332,24.958333333333332,21.588541666666668,10,7,5,6,5,3,1,4,222,192,243,253,205,172,153,136,17359,13225,6687,6772,3990,3316,4792,4145,14518.234368000001,11060.755200000001,5592.685824000001,5663.7757440000005,3337.0444800000005,2773.343232,4007.7987840000005,3466.6790400000004,4.322916666666667,4.3125,3.5,4.916666666666667,3.7916666666666665,4.322916666666667,3.5520833333333335,3.8958333333333335
Spine: 5,0,[405 222],[435.71767217 254.11623048],[2.1780000000000004],27.475071856652228,45.602,64.088,102.638,129.318,127.112,124.644,128.172,128.324,5,8,7,17,13,17,16,16,184,250,255,255,255,255,255,255,22801,32044,51319,64659,63556,62322,64086,64162,49660.57800000001,69791.83200000001,111772.782,140827.30200000003,138424.96800000002,135737.31600000002,139579.30800000002,139744.836,6.414829659318637,7.152304609218437,7.865731462925852,8.821643286573146,8.695390781563127,8.87374749498998,9.1062124248497,8.210420841683367
Spine: 6,0,[313 188],[311 155],[1.7031960000000002],19.40913632101905,77.57800511508951,55.36572890025575,45.98209718670077,66.81585677749361,35.248081841432224,25.373401534526856,23.879795396419436,25.805626598465473,9,8,10,10,5,6,5,4,179,219,197,235,188,139,98,160,30333,21648,17979,26125,13782,9921,9337,10090,51663.044268000005,36870.78700800001,30621.760884000003,44495.995500000005,23473.447272,16897.407516000003,15902.741052000001,17185.24764,5.867007672634271,6.117647058823529,5.071611253196931,5.189258312020461,5.42455242966752,5.071611253196931,4.859335038363171,5.10997442455243
