,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 68 256],[ 60 275],[0.36590400000000006],1.2340709236283065,0,64.5,69.11904761904762,65.44047619047619,51.80952380952381,39.035714285714285,54.48809523809524,60.916666666666664,48.416666666666664,9,11,7,11,7,11,16,11,143,166,155,124,113,116,115,116,5418,5806,5497,4352,3279,4577,5117,4067,23.600808000000004,25.290936000000002,23.944932,18.957312,14.283324000000002,19.937412000000002,22.289652000000004,17.715852,7.059523809523809,7.571428571428571,7.642857142857143,8.845238095238095,8.369047619047619,8.595238095238095,10.05952380952381,8.261904761904763
Spine: 1,0,[ 92 246],[ 97 231],[0.43124400000000007],2.4701965140120077,0,47.05050505050505,37.60606060606061,36.7979797979798,26.404040404040405,30.90909090909091,28.939393939393938,27.484848484848484,27.050505050505052,15,11,11,7,10,9,9,9,106,91,102,61,80,90,69,90,4658,3723,3643,2614,3060,2865,2721,2678,20.290248000000002,16.217388000000003,15.868908000000001,11.386584000000001,13.329360000000001,12.479940000000001,11.852676,11.665368,8.525252525252526,7.98989898989899,7.7272727272727275,7.808080808080808,8.343434343434344,8.141414141414142,9.262626262626263,9.252525252525253
Spine: 2,0,[ 86 264],[ 77 284],[0.44431200000000004],2.5437318679301213,0,57.69607843137255,67.20588235294117,63.3921568627451,92.32352941176471,81.04901960784314,83.62745098039215,83.8921568627451,68.43137254901961,19,16,13,16,23,18,28,25,114,129,114,187,172,149,153,131,5885,6855,6466,9417,8267,8530,8557,6980,25.635060000000003,29.860380000000003,28.165896000000004,41.020452000000006,36.01105200000001,37.15668,37.274292,30.404880000000002,6.411764705882353,6.784313725490196,6.803921568627451,7.598039215686274,7.372549019607843,7.117647058823529,7.647058823529412,7.107843137254902
Spine: 3,0,[138 251],[147 222],[0.644688],5.503909656162587,0,28.29054054054054,30.06081081081081,33.851351351351354,37.46621621621622,36.4054054054054,40.777027027027025,35.263513513513516,42.229729729729726,9,9,7,9,7,8,8,9,55,84,75,82,81,101,83,85,4187,4449,5010,5545,5388,6035,5219,6250,18.238572,19.379844000000002,21.823560000000004,24.154020000000003,23.470128000000003,26.288460000000004,22.733964000000004,27.225,6.216216216216216,5.121621621621622,5.148648648648648,5.027027027027027,5.256756756756757,5.351351351351352,5.121621621621622,5.5
Spine: 4,0,[220 271],[216 253],[0.5575680000000001],11.55810282338215,0,46.8984375,33.1796875,37.1953125,66.671875,38.1796875,55.671875,45.859375,45.2109375,8,7,8,10,7,12,9,10,110,76,81,154,116,160,104,132,6003,4247,4761,8534,4887,7126,5870,5787,26.149068000000003,18.499932,20.738916000000003,37.17410400000001,21.287772000000004,31.040856000000005,25.569720000000004,25.208172,8.390625,7.953125,8.25,9.203125,8.6015625,8.8359375,8.7421875,9.28125
Spine: 5,0,[220 296],[226 326],[0.8581320000000001],11.234511200404146,0,41.796954314720814,41.441624365482234,56.25888324873097,68.16243654822335,62.35532994923858,87.58375634517766,64.73604060913705,77.28426395939087,6,7,9,8,11,19,9,8,116,133,138,185,153,185,149,199,8234,8164,11083,13428,12284,17254,12753,15225,35.867304000000004,35.562384,48.277548,58.492368000000006,53.50910400000001,75.15842400000001,55.552068000000006,66.32010000000001,5.568527918781726,5.441624365482234,5.380710659898477,6.01015228426396,5.949238578680203,6.258883248730965,6.324873096446701,6.365482233502538
Spine: 6,0,[247 256],[247 216],[0.8929800000000001],13.643179129907752,0,30.09268292682927,33.458536585365856,31.819512195121952,43.517073170731706,33.014634146341464,36.4390243902439,34.707317073170735,33.4780487804878,6,6,7,7,8,7,7,8,99,117,88,114,85,86,85,76,6169,6859,6523,8921,6768,7470,7115,6863,26.872164,29.877804000000005,28.414188000000003,38.85987600000001,29.481408000000002,32.539320000000004,30.992940000000004,29.895228000000003,5.453658536585366,5.278048780487805,4.848780487804878,5.0634146341463415,5.4,5.273170731707317,5.146341463414634,5.214634146341464
