,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[391 251],[391.47919576 228.20965014],[0.4965840000000001],1.2728352968618786,0,45.973684210526315,33.60526315789474,31.75438596491228,53.03508771929825,36.49122807017544,33.14035087719298,29.096491228070175,32.64912280701754,8,8,10,5,9,5,5,7,99,71,66,144,92,77,57,103,5241,3831,3620,6046,4160,3778,3317,3722,22.829796,16.687836,15.768720000000002,26.336376,18.120960000000004,16.456968000000003,14.448852000000002,16.213032000000002,7.327433628318584,4.31858407079646,3.5575221238938055,4.0,3.0,4.221238938053097,3.150442477876106,5.353982300884955
Spine: 1,0,[323 297],[334 344],[0.7840800000000001],6.24488594059364,0,40.1,51.522222222222226,44.53333333333333,41.00555555555555,47.51111111111111,53.41111111111111,42.43888888888889,56.06111111111111,3,8,6,3,7,7,4,7,126,178,131,152,135,133,119,173,7218,9274,8016,7381,8552,9614,7639,10091,31.441608000000002,40.397544,34.91769600000001,32.151636,37.252512,41.878584000000004,33.275484000000006,43.956396000000005,4.122222222222222,4.166666666666667,2.9555555555555557,2.888888888888889,3.0833333333333335,3.1055555555555556,2.6166666666666667,3.5388888888888888
Spine: 2,0,[309 270],[317.90047017 244.82420108],[0.8668440000000001],6.7247984701763395,0,74.63316582914572,58.12562814070352,56.55778894472362,92.31658291457286,71.89949748743719,75.62814070351759,80.97989949748744,80.97989949748744,8,11,8,14,14,10,12,15,207,160,173,211,170,176,212,239,14852,11567,11255,18371,14308,15050,16115,16115,64.695312,50.38585200000001,49.02678,80.02407600000001,62.32564800000001,65.55780000000001,70.19694000000001,70.19694000000001,8.410891089108912,7.836633663366337,7.143564356435643,8.0,7.351485148514851,6.648514851485149,6.97029702970297,8.425742574257425
Spine: 3,0,[285 261],[282 227],[0.9757440000000002],8.293596027334953,0,44.17857142857143,42.25892857142857,45.848214285714285,70.64285714285714,63.955357142857146,52.879464285714285,61.214285714285715,73.08482142857143,7,4,6,7,9,7,7,8,169,161,153,214,204,145,188,204,9896,9466,10270,15824,14326,11845,13712,16371,43.106976,41.233896,44.73612000000001,68.92934400000001,62.404056000000004,51.59682000000001,59.72947200000001,71.312076,4.665178571428571,3.700892857142857,3.1875,3.8526785714285716,3.9375,3.638392857142857,3.625,4.276785714285714
Spine: 4,0,[178 303],[175 348],[0.7971480000000001],15.393258315019773,0,41.021857923497265,48.31147540983606,50.0655737704918,100.27868852459017,73.1256830601093,43.05464480874317,51.5792349726776,52.53551912568306,4,2,4,20,3,2,3,5,139,171,175,219,227,151,184,182,7507,8841,9162,18351,13382,7879,9439,9614,32.700492000000004,38.511396000000005,39.90967200000001,79.93695600000001,58.29199200000001,34.320924000000005,41.11628400000001,41.878584000000004,3.4098360655737703,3.3169398907103824,2.759562841530055,4.027322404371585,3.628415300546448,3.4043715846994536,3.519125683060109,4.693989071038251
Spine: 5,0,[ 64 216],[ 78.96740425 190.2335337 ],[0.9060480000000001],24.2850748244359,0,79.01923076923077,79.32211538461539,58.62980769230769,92.1298076923077,56.40865384615385,59.71153846153846,66.34615384615384,76.47596153846153,12,11,5,18,6,6,8,13,221,197,183,195,173,171,188,196,16436,16499,12195,19163,11733,12420,13800,15907,71.59521600000001,71.86964400000001,53.12142000000001,83.474028,51.108948000000005,54.10152000000001,60.11280000000001,69.29089200000001,5.814285714285714,5.319047619047619,3.657142857142857,5.5285714285714285,4.904761904761905,5.071428571428571,5.385714285714286,6.70952380952381
Spine: 6,0,[ 49 236],[ 43 261],[1.0454400000000001],24.850830505170936,0,86.9875,76.9875,84.38333333333334,103.62083333333334,93.6875,108.1875,105.125,107.10416666666667,11,10,11,17,9,7,12,11,245,238,225,225,249,255,255,246,20877,18477,20252,24869,22485,25965,25230,25705,90.94021200000002,80.48581200000001,88.217712,108.32936400000001,97.94466000000001,113.10354000000001,109.90188,111.97098000000001,6.0875,5.279166666666667,4.616666666666666,4.633333333333334,5.329166666666667,5.4375,5.066666666666666,5.366666666666666
