,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[156 184],[172 143],[1.106424],5.021337529061115,25.688976377952756,23.653543307086615,28.64566929133858,36.22047244094488,35.188976377952756,26.5748031496063,25.263779527559056,27.799212598425196,4,4,6,3,4,3,4,4,81,87,103,124,91,96,101,118,6525,6008,7276,9200,8938,6750,6417,7061,7219.4166000000005,6647.395392,8050.341024000001,10179.100800000002,9889.217712000001,7468.362000000001,7099.922808000001,7812.459864000001,2.6653543307086616,4.196850393700787,3.822834645669291,4.1141732283464565,3.122047244094488,3.6377952755905514,3.6535433070866143,4.043307086614173
Spine: 1,0,[166 229],[166 269],[0.8537760000000001],5.968758274290016,23.413265306122447,30.755102040816325,31.112244897959183,37.29081632653061,38.5969387755102,39.535714285714285,42.72959183673469,56.93877551020408,5,5,4,7,6,5,7,10,89,107,106,130,135,114,152,154,4589,6028,6098,7309,7565,7749,8375,11160,3917.9780640000004,5146.561728000001,5206.326048000001,6240.248784,6458.81544,6615.910224000001,7150.374000000001,9528.14016,4.505102040816326,5.040816326530612,5.933673469387755,5.923469387755102,5.673469387755102,5.821428571428571,5.923469387755102,6.566326530612245
Spine: 2,0,[203 195],[215 164],[1.0105920000000002],8.302583100119902,44.03879310344828,38.73706896551724,54.849137931034484,59.74568965517241,52.685344827586206,49.922413793103445,43.900862068965516,45.66379310344828,6,6,10,10,7,5,6,7,134,94,121,134,132,144,140,128,10217,8987,12725,13861,12223,11582,10185,10594,10325.218464000001,9082.190304000002,12859.783200000002,14007.815712000001,12352.466016000002,11704.676544000002,10292.87952,10706.211648,3.25,3.4870689655172415,4.163793103448276,4.530172413793103,4.094827586206897,4.051724137931035,4.521551724137931,4.616379310344827
