,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[205 260],[212 278],[1.036728],1.1521870785358581,86.88235294117646,109.27310924369748,126.86134453781513,148.61344537815125,131.62605042016807,98.43697478991596,108.18487394957984,108.4453781512605,13,16,14,32,36,10,10,12,201,255,242,255,255,251,255,249,20678,26007,30193,35370,31327,23428,25748,25810,21437.461584000004,26962.185096000005,31301.928504000003,36669.06936,32477.578056000002,24288.463584,26693.672544000005,26757.94968,11.147058823529411,12.210084033613445,12.163865546218487,14.067226890756302,13.907563025210084,15.260504201680673,16.478991596638654,17.084033613445378
Spine: 1,0,[270 242],[274.5601195  279.34836851],[1.5289560000000002],5.673057381070166,43.32193732193732,54.6011396011396,51.66096866096866,71.21082621082621,71.72649572649573,57.32193732193732,52.43589743589744,45.1025641025641,0,3,2,1,11,8,6,3,161,157,137,185,179,174,150,213,15206,19165,18133,24995,25176,20120,18405,15831,23249.304936000004,29302.441740000002,27724.559148000004,38216.25522000001,38492.996256000006,30762.594720000005,28140.435180000004,24204.902436000004,4.847701149425287,5.221264367816092,5.468390804597701,5.9798850574712645,6.405172413793103,5.916666666666667,6.75,12.350574712643677
Spine: 2,0,[334 196],[319 170],[0.7840800000000001],10.858533111043359,18.905555555555555,25.31111111111111,25.31111111111111,26.872222222222224,37.01111111111111,22.5,23.144444444444446,23.822222222222223,5,6,6,7,7,0,7,4,51,59,73,103,123,88,58,85,3403,4556,4556,4837,6662,4050,4166,4288,2668.2242400000005,3572.26848,3572.26848,3792.5949600000004,5223.54096,3175.5240000000003,3266.4772800000005,3362.1350400000006,3.3666666666666667,4.516666666666667,3.3944444444444444,4.194444444444445,5.2,3.5388888888888888,3.761111111111111,4.15
Spine: 3,0,[411 154],[385.61229188 134.00067231],[1.1543400000000001],16.734442224144278,45.48301886792453,49.9622641509434,54.87924528301887,54.69433962264151,53.26792452830189,78.14339622641509,63.29056603773585,64.16981132075472,6,9,12,11,6,21,8,12,201,147,162,172,160,157,162,184,12053,13240,14543,14494,14116,20708,16772,17005,13913.260020000002,15283.461600000002,16787.56662,16731.003960000002,16294.663440000002,23904.072720000004,19360.590480000003,19629.551700000004,4.053030303030303,5.053030303030303,4.28030303030303,5.215909090909091,6.106060606060606,4.681818181818182,4.928030303030303,4.78030303030303
Spine: 4,0,[560  95],[541.57526926  75.20834576],[1.1499840000000001],26.988731819654493,43.121212121212125,48.36742424242424,42.84848484848485,45.109848484848484,50.71212121212121,59.19318181818182,70.0530303030303,68.72727272727273,5,10,5,9,8,10,9,7,134,130,132,159,142,131,216,214,11384,12769,11312,11909,13388,15627,18494,18144,13091.417856000002,14684.145696000001,13008.619008000001,13695.159456000001,15395.985792000001,17970.799968000003,21267.804096000003,20865.309696000004,8.814126394052044,9.382899628252789,9.992565055762082,9.784386617100372,9.962825278810408,8.851301115241636,9.970260223048328,10.386617100371748
Spine: 5,0,[693 165],[700 146],[0.6926040000000001],36.76359181421902,53.113207547169814,43.74842767295598,44.339622641509436,41.84905660377358,48.74842767295598,104.76100628930817,116.46540880503144,107.83018867924528,14,15,11,9,11,16,27,19,127,133,144,132,175,238,252,245,8445,6956,7050,6654,7751,16657,18518,17145,5849.04078,4817.753424,4882.858200000001,4608.587016,5368.373604,11536.704828000002,12825.640872000002,11874.695580000001,8.534591194968554,8.138364779874214,7.540880503144654,8.0125786163522,8.974842767295597,12.484276729559749,14.635220125786164,12.09433962264151
Spine: 6,0,[788 199],[793.07577729 172.37899659],[1.4897520000000002],43.55273531963995,60.95614035087719,54.07602339181287,50.76900584795322,55.0,55.32163742690059,53.05555555555556,49.57602339181287,46.99707602339181,2,3,5,7,13,4,8,8,182,152,135,137,143,152,149,139,20847,18494,17363,18810,18920,18145,16955,16073,31056.859944000003,27551.473488000003,25866.563976,28022.235120000005,28186.107840000004,27031.550040000002,25258.745160000002,23944.783896000004,4.841176470588235,4.9676470588235295,4.4411764705882355,5.291176470588235,6.132352941176471,4.820588235294117,5.858823529411764,5.4
